Team,Total Matches With,Wins With,Losses With,Wins Against,Losses Against,Delta Against,Delta With
217,5,2,2,0,1,-1,0
453,6,1,4,1,0,1,-3
27,8,0,0,2,6,-4,0
184,5,0,1,1,3,-2,-1
519,5,2,0,1,2,-1,2
1213,2,1,0,1,0,1,1
33,5,2,1,0,2,-2,1
1506,1,0,0,1,0,1,0
94,2,0,0,2,0,2,0
818,2,0,0,2,0,2,0
903,1,0,1,0,0,0,-1
503,1,0,1,0,0,0,-1
301,2,0,0,0,2,-2,0
469,3,1,0,0,2,-2,1
1216,1,0,1,0,0,0,-1
1509,2,0,2,0,0,0,-2
557,2,0,0,0,2,-2,0
494,3,1,0,0,2,-2,1
226,3,1,1,1,0,1,0
515,1,0,1,0,0,0,-1
1286,3,0,1,0,2,-2,-1
1701,1,0,0,0,1,-1,0
440,1,0,1,0,0,0,-1
397,2,0,0,0,2,-2,0
1508,4,1,0,2,1,1,1
245,5,2,1,0,2,-2,1
406,3,1,0,2,0,2,1
1250,2,0,0,1,1,0,0
1476,2,1,1,0,0,0,0
123,2,0,0,1,1,0,0
5,1,0,0,1,0,1,0
1188,1,0,0,1,0,1,0
121,2,0,2,0,0,0,-2
203,2,0,2,0,0,0,-2
1219,3,1,0,0,2,-2,1
1507,2,0,0,0,2,-2,0
694,3,0,0,1,2,-1,0
1391,1,1,0,0,0,0,1
16,1,1,0,0,0,0,1
25,1,0,0,1,0,1,0
843,1,0,0,1,0,1,0
587,1,0,0,1,0,1,0
1261,1,1,0,0,0,0,1
237,1,1,0,0,0,0,1
618,1,0,0,1,0,1,0
151,1,0,0,1,0,1,0
64,1,0,0,1,0,1,0
1024,1,1,0,0,0,0,1
1208,1,0,0,1,0,1,0
56,1,0,0,1,0,1,0
801,1,0,0,1,0,1,0
346,1,1,0,0,0,0,1
522,1,1,0,0,0,0,1
38,1,0,0,1,0,1,0
103,1,0,0,1,0,1,0
714,1,0,0,1,0,1,0
945,1,1,0,0,0,0,1
1108,1,1,0,0,0,0,1
168,1,0,0,1,0,1,0
604,1,0,0,1,0,1,0
989,1,0,0,1,0,1,0
1280,1,0,1,0,0,0,-1
1137,1,0,1,0,0,0,-1
1546,1,0,0,0,1,-1,0
358,1,0,0,0,1,-1,0
68,1,0,0,0,1,-1,0
1675,1,1,0,0,0,0,1
365,3,1,0,1,1,0,1
1590,1,0,0,1,0,1,0
74,6,3,2,1,0,1,1
910,5,2,2,0,1,-1,0
302,4,0,0,2,2,0,0
67,2,0,0,2,0,2,0
904,3,0,0,2,1,1,0
1654,2,1,1,0,0,0,0
448,2,0,0,2,0,2,0
1327,1,0,0,1,0,1,0
858,1,1,0,0,0,0,1
830,2,0,0,1,1,0,0
1504,1,0,0,1,0,1,0
1227,1,0,1,0,0,0,-1
1677,1,0,0,0,1,-1,0
862,2,0,1,1,0,1,-1
1674,2,1,1,0,0,0,0
1500,2,1,0,0,1,-1,1
1015,1,0,0,0,1,-1,0
66,1,0,0,0,1,-1,0
141,2,1,1,0,0,0,0
201,2,0,0,1,1,0,0
1502,1,0,0,1,0,1,0
573,1,0,0,1,0,1,0
1256,2,1,0,0,1,-1,1
107,1,1,0,0,0,0,1
85,1,0,0,1,0,1,0
93,2,0,0,2,0,2,0
518,1,0,1,0,0,0,-1
888,1,0,1,0,0,0,-1
868,1,0,0,0,1,-1,0
288,1,0,0,0,1,-1,0
287,1,0,1,0,0,0,-1
204,2,0,1,1,0,1,-1
1249,1,0,0,0,1,-1,0
1243,2,0,0,0,2,-2,0
686,1,0,0,0,1,-1,0
306,1,0,1,0,0,0,-1
1185,2,0,2,0,0,0,-2
49,1,0,0,0,1,-1,0
379,3,0,0,2,1,1,0
188,1,1,0,0,0,0,1
869,2,1,0,0,1,-1,1
337,1,0,0,1,0,1,0
808,2,0,0,2,0,2,0
1014,2,1,1,0,0,0,0
846,2,0,0,1,1,0,0
1707,1,0,0,1,0,1,0
395,1,0,0,1,0,1,0
357,2,1,0,0,1,-1,1
291,1,0,0,1,0,1,0
1634,2,0,1,1,0,1,-1
117,1,0,1,0,0,0,-1
1006,2,0,0,1,1,0,0
1708,1,0,0,0,1,-1,0
48,1,1,0,0,0,0,1
398,1,1,0,0,0,0,1
