Team,Total Matches With,Wins With,Losses With,Wins Against,Losses Against,Delta Against,Delta With
4039,10,3,3,4,0,4,0
118,7,3,3,1,0,1,0
1732,4,0,0,3,1,2,0
245,4,0,0,3,1,2,0
27,3,0,0,2,1,1,0
610,8,2,0,4,2,2,2
111,1,1,0,0,0,0,1
842,1,0,0,1,0,1,0
2481,1,0,0,1,0,1,0
2512,1,0,0,1,0,1,0
4601,1,1,0,0,0,0,1
1987,1,1,0,0,0,0,1
2046,1,0,0,1,0,1,0
1772,1,0,0,1,0,1,0
1218,1,0,0,1,0,1,0
2337,2,1,0,1,0,1,1
2502,1,1,0,0,0,0,1
2978,1,0,0,1,0,1,0
3941,1,0,0,1,0,1,0
1323,1,0,0,1,0,1,0
4011,1,1,0,0,0,0,1
192,1,1,0,0,0,0,1
4158,1,0,0,1,0,1,0
1405,1,0,0,1,0,1,0
2341,1,1,0,0,0,0,1
4557,1,1,0,0,0,0,1
70,1,0,0,1,0,1,0
4452,1,0,0,1,0,1,0
1912,1,0,0,1,0,1,0
1675,1,0,1,0,0,0,-1
1806,1,0,1,0,0,0,-1
1241,16,3,0,9,4,5,3
4334,2,0,0,1,1,0,0
1477,5,0,0,2,3,-1,0
3284,1,1,0,0,0,0,1
1425,1,1,0,0,0,0,1
384,1,0,0,1,0,1,0
2169,1,0,0,1,0,1,0
4069,11,9,0,2,0,2,9
2485,1,1,0,0,0,0,1
1629,1,0,0,1,0,1,0
125,1,0,0,1,0,1,0
45,2,1,0,1,0,1,1
2056,31,26,1,2,2,0,25
1334,14,8,1,5,0,5,7
1310,9,2,0,7,0,7,2
67,3,1,0,2,0,2,1
3476,3,1,0,2,0,2,1
195,3,1,0,2,0,2,1
1538,3,0,0,3,0,3,0
461,1,1,0,0,0,0,1
447,1,1,0,0,0,0,1
2252,1,0,0,1,0,1,0
217,1,0,0,1,0,1,0
20,1,1,0,0,0,0,1
48,1,1,0,0,0,0,1
234,1,0,0,1,0,1,0
862,1,0,0,1,0,1,0
3928,2,1,0,1,0,1,1
1676,1,0,0,1,0,1,0
624,1,0,0,1,0,1,0
1503,5,1,0,4,0,4,1
148,1,1,0,0,0,0,1
3641,1,1,0,0,0,0,1
116,1,0,0,1,0,1,0
2338,1,0,0,1,0,1,0
2474,1,1,0,0,0,0,1
68,1,0,0,1,0,1,0
987,1,1,0,0,0,0,1
16,1,0,0,1,0,1,0
2648,4,1,0,2,1,1,1
696,1,0,0,1,0,1,0
303,1,0,0,1,0,1,0
4265,1,1,0,0,0,0,1
3539,1,1,0,0,0,0,1
3467,4,0,0,3,1,2,0
4814,8,6,0,2,0,2,6
11,1,0,0,1,0,1,0
2826,1,1,0,0,0,0,1
2451,1,1,0,0,0,0,1
2175,1,0,0,1,0,1,0
1902,1,0,0,1,0,1,0
33,3,0,0,2,1,1,0
4716,3,0,0,3,0,3,0
4343,8,2,0,6,0,6,2
3161,5,2,0,2,1,1,2
190,3,1,0,2,0,2,1
2935,2,1,0,1,0,1,1
1547,2,1,0,1,0,1,1
4817,2,0,0,2,0,2,0
772,3,1,0,2,0,2,1
3117,2,1,0,1,0,1,1
4083,2,1,0,1,0,1,1
4783,2,1,0,1,0,1,1
4704,2,1,0,1,0,1,1
4659,1,0,0,1,0,1,0
2185,4,1,0,3,0,3,1
4595,2,0,1,1,0,1,-1
1305,5,1,0,4,0,4,1
854,1,0,0,1,0,1,0
907,2,1,0,1,0,1,1
4825,1,1,0,0,0,0,1
1325,9,7,0,2,0,2,7
2013,5,2,0,2,1,1,2
4732,1,0,0,1,0,1,0
1815,1,0,0,1,0,1,0
4754,1,0,0,1,0,1,0
4518,2,1,0,0,1,-1,1
3571,5,0,0,5,0,5,0
2634,2,1,0,0,1,-1,1
771,1,0,0,1,0,1,0
1075,4,0,1,3,0,3,-1
3683,3,1,0,2,0,2,1
2994,7,1,0,6,0,6,1
216,5,0,0,5,0,5,0
244,2,1,0,1,0,1,1
3543,3,1,0,2,0,2,1
4727,3,1,0,2,0,2,1
4015,1,1,0,0,0,0,1
288,4,1,0,2,1,1,1
3988,2,0,1,1,0,1,-1
781,6,1,0,5,0,5,1
4252,3,1,0,2,0,2,1
4685,1,0,0,1,0,1,0
865,6,2,0,4,0,4,2
3985,2,1,0,1,0,1,1
4001,2,1,0,1,0,1,1
3541,3,1,0,2,0,2,1
4718,1,0,0,1,0,1,0
4807,3,0,1,2,0,2,-1
2809,2,1,0,1,0,1,1
4476,1,1,0,0,0,0,1
2852,2,1,0,1,0,1,1
3387,1,0,0,1,0,1,0
3530,2,1,0,1,0,1,1
4808,1,0,0,1,0,1,0
3386,2,1,0,1,0,1,1
3550,1,1,0,0,0,0,1
3756,4,1,0,3,0,3,1
2200,3,0,0,3,0,3,0
4152,4,0,1,3,0,3,-1
2386,2,1,0,1,0,1,1
4525,4,1,0,2,1,1,1
4200,3,1,0,2,0,2,1
4777,2,1,0,1,0,1,1
4372,1,1,0,0,0,0,1
4618,1,0,0,1,0,1,0
3949,3,0,0,3,0,3,0
1846,2,1,0,1,0,1,1
2625,2,1,0,1,0,1,1
4678,2,1,0,1,0,1,1
2702,1,0,0,1,0,1,0
4519,2,1,0,1,0,1,1
3494,3,0,1,2,0,2,-1
