Team,Total Matches With,Wins With,Losses With,Wins Against,Losses Against,Delta Against,Delta With
1732,1,1,0,0,0,0,1
2013,1,1,0,0,0,0,1
5098,1,0,0,1,0,1,0
1769,2,1,0,1,0,1,1
5847,1,0,0,1,0,1,0
3260,1,1,0,0,0,0,1
364,1,1,0,0,0,0,1
3324,1,0,0,1,0,1,0
3397,1,0,0,1,0,1,0
2438,1,0,0,1,0,1,0
4967,1,1,0,0,0,0,1
303,1,0,0,1,0,1,0
2471,1,0,0,1,0,1,0
422,1,0,0,1,0,1,0
5910,1,0,1,0,0,0,-1
5811,2,0,1,0,1,-1,-1
1538,1,0,0,0,1,-1,0
5801,1,0,0,0,1,-1,0
5254,1,0,0,0,1,-1,0
346,1,0,1,0,0,0,-1
6070,2,0,1,0,1,-1,-1
1736,1,0,0,0,1,-1,0
1559,2,1,0,0,1,-1,1
1796,1,0,0,0,1,-1,0
5232,1,0,1,0,0,0,-1
4547,1,0,1,0,0,0,-1
1684,1,0,0,0,1,-1,0
4334,1,1,0,0,0,0,1
2733,1,0,0,1,0,1,0
1730,1,0,0,1,0,1,0
686,1,0,0,1,0,1,0
193,1,0,1,0,0,0,-1
812,1,0,1,0,0,0,-1
4920,4,0,1,1,2,-1,-1
4377,1,0,0,0,1,-1,0
4216,1,0,0,0,1,-1,0
3019,1,1,0,0,0,0,1
3604,1,1,0,0,0,0,1
5899,1,0,0,1,0,1,0
5805,1,0,0,1,0,1,0
4060,1,0,0,1,0,1,0
2046,1,0,1,0,0,0,-1
70,1,0,1,0,0,0,-1
971,1,0,0,0,1,-1,0
231,1,0,0,0,1,-1,0
5839,1,0,0,0,1,-1,0
4594,1,0,1,0,0,0,-1
1482,2,1,0,0,1,-1,1
2852,3,0,0,1,2,-1,0
4718,1,0,0,0,1,-1,0
4069,2,1,0,0,1,-1,1
5911,1,1,0,0,0,0,1
781,1,0,0,1,0,1,0
5699,2,1,0,1,0,1,1
854,2,0,1,1,0,1,-1
5092,1,0,1,0,0,0,-1
5680,1,0,1,0,0,0,-1
1815,1,0,0,0,1,-1,0
5039,2,0,0,1,1,0,0
3360,1,0,1,0,0,0,-1
2706,1,0,0,0,1,-1,0
886,2,0,1,0,1,-1,-1
2609,3,1,0,1,1,0,1
772,2,1,0,1,0,1,1
4001,2,1,0,0,1,-1,1
1325,1,0,0,1,0,1,0
1310,1,0,0,1,0,1,0
3705,2,0,1,1,0,1,-1
919,1,1,0,0,0,0,1
5821,1,0,0,1,0,1,0
5834,2,0,0,1,1,0,0
3683,1,1,0,0,0,0,1
4946,1,1,0,0,0,0,1
4519,1,0,0,1,0,1,0
5776,2,0,1,1,0,1,-1
4951,2,0,0,1,1,0,0
6009,1,0,0,0,1,-1,0
1511,1,1,0,0,0,0,1
865,2,0,1,1,0,1,-1
188,1,0,0,1,0,1,0
1547,1,0,0,1,0,1,0
2809,1,0,0,0,1,-1,0
1360,1,1,0,0,0,0,1
4940,1,1,0,0,0,0,1
5288,2,0,1,1,0,1,-1
3571,1,1,0,0,0,0,1
4938,1,1,0,0,0,0,1
5883,1,0,0,1,0,1,0
2386,1,0,0,1,0,1,0
6052,1,0,0,1,0,1,0
6110,2,1,0,0,1,-1,1
5409,1,0,0,1,0,1,0
5408,1,0,0,1,0,1,0
6130,1,0,0,1,0,1,0
4678,1,1,0,0,0,0,1
5024,1,1,0,0,0,0,1
4903,1,0,0,1,0,1,0
4936,2,0,1,1,0,1,-1
4902,1,0,0,1,0,1,0
4688,1,1,0,0,0,0,1
4917,1,1,0,0,0,0,1
4932,1,0,0,1,0,1,0
5689,2,0,1,1,0,1,-1
4343,1,0,1,0,0,0,-1
2056,1,0,0,0,1,-1,0
2200,1,0,0,0,1,-1,0
4921,1,0,1,0,0,0,-1
677,2,1,0,0,1,-1,1
5426,1,0,0,0,1,-1,0
4976,1,0,0,0,1,-1,0
6202,1,0,1,0,0,0,-1
1305,1,0,0,0,1,-1,0
1075,1,0,0,0,1,-1,0
910,1,1,0,0,0,0,1
4914,1,0,0,1,0,1,0
4595,1,0,0,1,0,1,0
