Team,Total Matches With,Wins With,Losses With,Wins Against,Losses Against,Delta Against,Delta With
4343,4,1,2,1,0,1,-1
9992,3,1,2,0,0,0,-1
5834,4,0,0,2,2,0,0
5719,4,0,2,1,1,0,-2
8574,4,0,1,2,1,1,-1
1325,6,1,1,0,4,-4,0
2935,3,1,0,1,1,0,1
9996,3,0,1,2,0,2,-1
2702,6,2,0,2,2,0,2
2609,2,0,1,0,1,-1,-1
8729,4,1,0,0,3,-3,1
2634,3,0,0,0,3,-3,0
9995,2,0,1,1,0,1,-1
5596,2,1,0,0,1,-1,1
3683,7,2,0,0,5,-5,2
9994,2,0,1,0,1,-1,-1
8089,6,1,3,0,2,-2,-2
9991,4,0,1,2,1,1,-1
1310,1,1,0,0,0,0,1
8764,2,0,1,1,0,1,-1
9993,2,0,1,1,0,1,-1
4678,3,1,0,0,2,-2,1
7520,1,0,1,0,0,0,-1
5406,5,0,2,0,3,-3,-2
5460,1,0,1,0,0,0,-1
4907,3,0,0,1,2,-1,0
1241,3,1,0,0,2,-2,1
5870,3,1,0,0,2,-2,1
244,3,1,0,0,2,-2,1
781,4,0,1,1,2,-1,-1
9113,3,1,1,1,0,1,0
4992,3,0,1,1,1,0,-1
9263,1,0,0,1,0,1,0
3739,3,0,1,2,0,2,-1
4617,2,0,1,0,1,-1,-1
4917,4,0,3,0,1,-1,-3
2708,2,0,1,0,1,-1,-1
6725,3,1,0,1,1,0,1
5024,2,1,0,0,1,-1,1
3756,1,0,0,1,0,1,0
7475,2,0,1,1,0,1,-1
1285,2,0,0,1,1,0,0
6162,2,0,1,0,1,-1,-1
2013,1,0,0,0,1,-1,0
7480,3,0,0,1,2,-1,0
8789,2,0,1,1,0,1,-1
216,1,0,1,0,0,0,-1
6070,1,0,0,0,1,-1,0
8884,1,0,1,0,0,0,-1
288,1,0,0,0,1,-1,0
6854,1,0,1,0,0,0,-1
4039,2,0,1,0,1,-1,-1
8850,1,0,1,0,0,0,-1
6514,3,0,1,0,2,-2,-1
4476,3,0,1,0,2,-2,-1
7558,4,1,0,0,3,-3,1
2386,2,0,1,0,1,-1,-1
5036,4,1,0,1,2,-1,1
6378,1,0,1,0,0,0,-1
7603,2,0,1,1,0,1,-1
6397,2,0,1,0,1,-1,-1
9127,2,0,1,0,1,-1,-1
7712,1,0,1,0,0,0,-1
6140,2,0,1,0,1,-1,-1
6987,2,1,0,1,0,1,1
610,2,1,0,0,1,-1,1
6975,1,0,0,1,0,1,0
771,2,0,1,1,0,1,-1
5409,2,0,1,1,0,1,-1
6866,2,1,0,1,0,1,1
7476,2,0,0,1,1,0,0
1305,3,0,1,0,2,-2,-1
2200,3,1,0,0,2,-2,1
8349,1,1,0,0,0,0,1
4951,1,0,0,1,0,1,0
6141,1,0,0,1,0,1,0
4946,1,0,1,0,0,0,-1
2056,1,0,0,0,1,-1,0
1246,1,0,0,0,1,-1,0
