Team,Total Matches With,Wins With,Losses With,Wins Against,Losses Against,Delta Against,Delta With
231,1,1,0,0,0,0,1
4272,1,1,0,0,0,0,1
9668,1,0,0,1,0,1,0
4206,1,0,0,1,0,1,0
6865,3,0,1,2,0,2,-1
1071,1,1,0,0,0,0,1
5996,1,1,0,0,0,0,1
6941,1,0,0,1,0,1,0
3489,1,0,0,1,0,1,0
4639,1,0,0,1,0,1,0
3480,1,0,1,0,0,0,-1
9499,2,0,1,1,0,1,-1
6639,1,0,0,0,1,-1,0
2718,1,0,0,0,1,-1,0
3707,1,0,0,0,1,-1,0
4738,1,1,0,0,0,0,1
4613,1,1,0,0,0,0,1
3276,1,0,0,1,0,1,0
354,1,0,0,1,0,1,0
3256,1,0,0,1,0,1,0
1982,1,0,1,0,0,0,-1
3655,1,0,1,0,0,0,-1
120,1,0,0,0,1,-1,0
7407,1,0,0,0,1,-1,0
857,2,1,0,0,1,-1,1
5166,1,1,0,0,0,0,1
1729,1,1,0,0,0,0,1
9717,1,0,0,1,0,1,0
2373,1,0,0,1,0,1,0
1339,1,0,0,1,0,1,0
3070,2,0,1,1,0,1,-1
7121,1,0,1,0,0,0,-1
360,1,0,0,0,1,-1,0
9023,1,0,0,0,1,-1,0
2075,1,0,0,0,1,-1,0
1714,1,1,0,0,0,0,1
353,2,1,0,1,0,1,1
6424,1,0,0,1,0,1,0
8044,1,1,0,0,0,0,1
4946,7,2,0,4,1,3,2
2883,1,0,0,1,0,1,0
9496,1,1,0,0,0,0,1
1261,1,1,0,0,0,0,1
9418,1,0,0,1,0,1,0
16,1,0,0,1,0,1,0
8054,1,0,0,1,0,1,0
4152,2,1,0,1,0,1,1
2706,2,1,0,1,0,1,1
188,2,0,0,1,1,0,0
4992,8,4,3,1,0,1,1
610,4,1,0,2,1,1,1
4907,3,1,0,0,2,-2,1
9569,1,1,0,0,0,0,1
3543,1,0,0,1,0,1,0
8731,2,0,1,1,0,1,-1
4476,1,0,0,1,0,1,0
9580,1,1,0,0,0,0,1
7902,1,1,0,0,0,0,1
8574,4,0,2,2,0,2,-2
4951,2,1,0,1,0,1,1
7520,4,2,0,1,1,0,2
7509,6,0,1,2,3,-1,-1
9562,1,0,1,0,0,0,-1
9062,1,0,0,0,1,-1,0
1325,9,4,3,0,2,-2,1
2634,4,1,2,0,1,-1,-1
2013,1,1,0,0,0,0,1
4903,2,1,0,1,0,1,1
5719,6,3,2,1,0,1,1
5036,3,1,0,1,1,0,1
1334,4,1,0,2,1,1,1
4917,2,0,0,2,0,2,0
6135,1,0,0,1,0,1,0
2198,4,1,1,2,0,2,0
7659,3,0,2,0,1,-1,-2
1285,4,1,0,0,3,-3,1
8729,1,0,0,0,1,-1,0
4308,4,1,1,2,0,2,0
6162,1,0,0,0,1,-1,0
4940,1,1,0,0,0,0,1
5885,1,1,0,0,0,0,1
5912,3,1,0,2,0,2,1
4069,1,0,0,1,0,1,0
6992,1,0,1,0,0,0,-1
9098,1,0,0,0,1,-1,0
6110,1,0,0,0,1,-1,0
5024,3,1,0,2,0,2,1
5409,6,1,0,3,2,1,1
4015,1,0,0,1,0,1,0
8764,4,0,0,4,0,4,0
1310,1,1,0,0,0,0,1
6978,2,0,0,2,0,2,0
7558,4,0,0,2,2,0,0
2056,5,1,0,0,4,-4,1
2200,10,2,0,5,3,2,2
4617,2,0,1,1,0,1,-1
3560,1,0,1,0,0,0,-1
2386,3,0,0,2,1,1,0
7200,2,1,0,1,0,1,1
9785,5,2,0,3,0,3,2
7058,6,1,1,4,0,4,0
771,2,0,0,2,0,2,0
5406,3,1,0,2,0,2,1
7475,6,2,0,3,1,2,2
6397,5,1,0,4,0,4,1
9678,2,0,0,2,0,2,0
8349,3,1,0,2,0,2,1
5672,1,0,0,1,0,1,0
4976,3,1,0,2,0,2,1
1114,4,1,0,2,1,1,1
9575,5,2,0,2,1,1,2
6854,1,0,0,1,0,1,0
7623,1,1,0,0,0,0,1
9782,1,1,0,0,0,0,1
9263,2,0,0,2,0,2,0
1241,1,0,0,1,0,1,0
4920,6,5,0,1,0,1,5
6140,9,7,0,2,0,2,7
1246,2,1,0,1,0,1,1
6977,3,0,1,2,0,2,-1
7603,3,1,0,1,1,0,1
6866,3,1,0,2,0,2,1
9262,3,0,1,1,1,0,-1
854,1,0,1,0,0,0,-1
5032,3,0,0,2,1,1,0
6975,4,1,0,3,0,3,1
7136,2,0,1,1,0,1,-1
6141,1,1,0,0,0,0,1
6632,3,0,0,2,1,1,0
