Team,Total Matches With,Wins With,Losses With,Wins Against,Losses Against,Delta Against,Delta With
3017,1,0,1,0,0,0,-1
1477,1,0,1,0,0,0,-1
931,1,0,0,0,1,-1,0
1023,1,0,0,0,1,-1,0
3462,1,0,0,0,1,-1,0
1065,1,1,0,0,0,0,1
1323,1,1,0,0,0,0,1
2949,1,0,0,1,0,1,0
2022,1,0,0,1,0,1,0
1518,1,0,0,1,0,1,0
1718,1,1,0,0,0,0,1
177,1,1,0,0,0,0,1
677,1,0,0,1,0,1,0
74,1,0,0,1,0,1,0
3756,1,0,0,1,0,1,0
2169,1,0,1,0,0,0,-1
1535,1,0,1,0,0,0,-1
330,1,0,0,0,1,-1,0
2543,1,0,0,0,1,-1,0
1138,1,0,0,0,1,-1,0
3010,1,0,1,0,0,0,-1
229,1,0,1,0,0,0,-1
3098,1,0,0,0,1,-1,0
1270,1,0,0,0,1,-1,0
1629,2,0,1,0,1,-1,-1
537,1,0,1,0,0,0,-1
2972,1,0,1,0,0,0,-1
3467,1,0,0,0,1,-1,0
2549,1,0,0,0,1,-1,0
3351,1,0,0,0,1,-1,0
701,1,0,1,0,0,0,-1
1482,1,0,1,0,0,0,-1
876,1,0,0,0,1,-1,0
191,1,0,0,0,1,-1,0
155,1,0,0,0,1,-1,0
2512,1,0,1,0,0,0,-1
440,1,0,1,0,0,0,-1
3494,1,0,0,0,1,-1,0
2500,1,0,0,0,1,-1,0
3694,1,0,0,0,1,-1,0
2054,1,1,0,0,0,0,1
3704,1,1,0,0,0,0,1
1811,1,0,0,1,0,1,0
33,1,0,0,1,0,1,0
3506,1,0,0,1,0,1,0
238,1,0,1,0,0,0,-1
167,1,0,1,0,0,0,-1
1640,1,0,0,0,1,-1,0
360,1,0,0,0,1,-1,0
862,1,0,0,0,1,-1,0
1310,7,2,5,0,0,0,-3
2852,8,3,4,0,1,-1,-1
1221,4,0,0,3,1,2,0
2386,4,0,0,2,2,0,0
3664,6,0,1,2,3,-1,-1
1334,5,1,0,0,4,-4,1
3590,2,1,0,0,1,-1,1
3387,4,0,1,1,2,-1,-1
2809,3,0,1,1,1,0,-1
3739,2,0,0,2,0,2,0
2935,2,0,1,0,1,-1,-1
1835,2,0,0,0,2,-2,0
3533,2,0,0,0,2,-2,0
1325,5,1,0,0,4,-4,1
1305,2,1,0,0,1,-1,1
3531,1,0,0,1,0,1,0
2634,2,0,1,1,0,1,-1
2076,1,0,1,0,0,0,-1
3382,1,0,0,0,1,-1,0
781,1,0,0,0,1,-1,0
3550,1,0,1,0,0,0,-1
3571,1,0,1,0,0,0,-1
3541,1,0,0,0,1,-1,0
2056,3,1,0,0,2,-2,1
865,1,0,1,0,0,0,-1
1547,1,0,1,0,0,0,-1
3710,2,0,1,0,1,-1,-1
3161,1,0,1,0,0,0,-1
1846,2,0,1,0,1,-1,-1
3543,2,0,1,1,0,1,-1
610,4,0,0,0,4,-4,0
1219,1,0,1,0,0,0,-1
772,3,0,0,2,1,1,0
48,2,0,1,1,0,1,-1
1507,1,0,0,0,1,-1,0
2252,2,0,1,0,1,-1,-1
2641,1,0,0,0,1,-1,0
1503,2,1,0,0,1,-1,1
1038,2,1,0,0,1,-1,1
1708,1,0,0,1,0,1,0
3567,1,0,0,1,0,1,0
1541,2,1,0,1,0,1,1
2172,1,0,1,0,0,0,-1
306,1,0,1,0,0,0,-1
1743,2,0,1,0,1,-1,-1
1114,1,0,0,0,1,-1,0
3356,1,0,1,0,0,0,-1
2656,1,0,1,0,0,0,-1
2603,2,0,1,0,1,-1,-1
3193,2,0,1,0,1,-1,-1
2051,2,0,0,1,1,0,0
337,1,0,1,0,0,0,-1
3511,1,0,0,0,1,-1,0
3260,2,0,1,0,1,-1,-1
291,1,0,0,0,1,-1,0
3138,1,1,0,0,0,0,1
1319,2,1,0,0,1,-1,1
128,1,0,0,1,0,1,0
117,1,0,1,0,0,0,-1
3504,1,0,0,0,1,-1,0
3492,2,0,0,1,1,0,0
63,1,1,0,0,0,0,1
2614,1,0,0,1,0,1,0
2544,2,0,1,0,1,-1,-1
378,1,0,0,0,1,-1,0
1249,1,0,0,0,1,-1,0
3062,1,0,0,0,1,-1,0
