Team,Total Matches With,Wins With,Losses With,Wins Against,Losses Against,Delta Against,Delta With
2935,1,0,1,0,0,0,-1
2634,1,0,1,0,0,0,-1
3117,1,0,0,0,1,-1,0
1141,1,0,0,0,1,-1,0
2505,1,0,0,0,1,-1,0
1605,1,1,0,0,0,0,1
1325,1,1,0,0,0,0,1
886,1,0,0,1,0,1,0
1835,1,0,0,1,0,1,0
781,1,0,0,1,0,1,0
1514,1,0,1,0,0,0,-1
2185,1,0,1,0,0,0,-1
2625,1,0,0,0,1,-1,0
2809,1,0,0,0,1,-1,0
1815,1,0,0,0,1,-1,0
1518,2,1,0,1,0,1,1
1241,2,1,0,0,1,-1,1
843,1,0,0,1,0,1,0
907,1,0,0,1,0,1,0
2200,1,0,0,1,0,1,0
1547,2,0,2,0,0,0,-2
1244,1,0,1,0,0,0,-1
1219,1,0,0,0,1,-1,0
1334,1,0,0,0,1,-1,0
854,1,0,0,0,1,-1,0
1535,1,1,0,0,0,0,1
1503,2,1,0,1,0,1,1
865,1,0,0,1,0,1,0
1075,1,0,0,1,0,1,0
1006,1,0,0,1,0,1,0
772,1,1,0,0,0,0,1
1126,2,1,0,0,1,-1,1
1559,2,0,0,2,0,2,0
2076,1,0,0,1,0,1,0
1312,1,0,1,0,0,0,-1
2670,1,0,1,0,0,0,-1
2013,1,0,0,0,1,-1,0
2852,1,0,0,0,1,-1,0
1114,1,0,0,0,1,-1,0
1626,1,0,1,0,0,0,-1
610,2,0,1,0,1,-1,-1
3003,1,0,0,0,1,-1,0
1405,1,0,0,0,1,-1,0
578,1,0,1,0,0,0,-1
1591,2,0,1,0,1,-1,-1
1765,2,0,0,0,2,-2,0
1728,1,0,0,0,1,-1,0
145,2,0,1,0,1,-1,-1
211,1,0,0,0,1,-1,0
2999,1,0,1,0,0,0,-1
173,2,0,1,0,1,-1,-1
250,1,0,0,0,1,-1,0
1511,1,0,0,0,1,-1,0
188,2,1,0,0,1,-1,1
3057,1,0,1,0,0,0,-1
1246,1,0,1,0,0,0,-1
1713,1,0,0,0,1,-1,0
1585,2,0,0,1,1,0,0
522,1,0,0,0,1,-1,0
174,1,1,0,0,0,0,1
316,1,0,0,1,0,1,0
3044,1,1,0,0,0,0,1
340,1,1,0,0,0,0,1
191,1,0,0,1,0,1,0
1450,1,0,0,1,0,1,0
809,1,0,1,0,0,0,-1
2340,1,0,1,0,0,0,-1
