Team,Total Matches With,Wins With,Losses With,Wins Against,Losses Against,Delta Against,Delta With
1538,1,1,0,0,0,0,1
1305,6,2,1,1,2,-1,1
766,1,0,0,1,0,1,0
4353,1,0,0,1,0,1,0
527,1,0,0,1,0,1,0
4159,1,0,1,0,0,0,-1
2158,1,0,1,0,0,0,-1
868,1,0,0,0,1,-1,0
1212,1,0,0,0,1,-1,0
125,1,0,0,0,1,-1,0
4013,1,0,1,0,0,0,-1
801,1,0,1,0,0,0,-1
2439,1,0,0,0,1,-1,0
1714,1,0,0,0,1,-1,0
585,1,0,0,0,1,-1,0
4031,1,0,1,0,0,0,-1
1747,1,0,1,0,0,0,-1
3925,1,0,0,0,1,-1,0
342,1,0,0,0,1,-1,0
4146,1,0,0,0,1,-1,0
492,1,1,0,0,0,0,1
2642,1,1,0,0,0,0,1
399,1,0,0,1,0,1,0
1108,1,0,0,1,0,1,0
1350,1,0,0,1,0,1,0
815,1,0,1,0,0,0,-1
3931,1,0,1,0,0,0,-1
1574,1,0,0,0,1,-1,0
16,1,0,0,0,1,-1,0
1831,1,0,0,0,1,-1,0
1038,1,1,0,0,0,0,1
1583,1,1,0,0,0,0,1
4090,1,0,0,1,0,1,0
1425,1,0,0,1,0,1,0
568,1,0,0,1,0,1,0
2377,1,0,1,0,0,0,-1
1515,1,0,1,0,0,0,-1
148,1,0,0,0,1,-1,0
4083,1,0,0,0,1,-1,0
3981,1,0,0,0,1,-1,0
533,1,0,1,0,0,0,-1
3574,1,0,1,0,0,0,-1
1671,1,0,0,0,1,-1,0
25,1,0,0,0,1,-1,0
33,1,0,0,0,1,-1,0
1241,6,4,2,0,0,0,2
907,6,4,2,0,0,0,2
2935,3,0,0,3,0,3,0
4069,5,0,2,3,0,3,-2
3571,5,0,1,3,1,2,-1
2634,2,1,0,1,0,1,1
772,1,1,0,0,0,0,1
886,2,0,1,1,0,1,-1
854,1,0,0,1,0,1,0
4308,1,0,0,1,0,1,0
1334,2,1,0,1,0,1,1
1053,1,0,0,1,0,1,0
3161,2,0,0,1,1,0,0
1482,2,0,1,0,1,-1,-1
4343,3,1,0,0,2,-2,1
1246,1,0,0,0,1,-1,0
1310,4,1,0,0,3,-3,1
1075,1,1,0,0,0,0,1
1835,2,1,0,0,1,-1,1
3933,1,0,0,1,0,1,0
1221,1,0,0,1,0,1,0
2013,2,1,0,1,0,1,1
2625,1,1,0,0,0,0,1
2076,1,0,0,1,0,1,0
1846,4,0,1,3,0,3,-1
4258,1,1,0,0,0,0,1
3705,2,1,0,1,0,1,1
1325,1,0,0,1,0,1,0
4250,1,0,0,1,0,1,0
4022,1,0,0,1,0,1,0
1605,1,0,0,1,0,1,0
4147,2,0,1,0,1,-1,-1
2056,6,0,1,1,4,-3,-1
1514,3,0,2,1,0,1,-2
2200,4,0,0,1,3,-2,0
2386,1,0,1,0,0,0,-1
1009,1,0,0,0,1,-1,0
4357,1,0,0,0,1,-1,0
3527,1,0,1,0,0,0,-1
2185,1,0,0,0,1,-1,0
4236,1,0,0,0,1,-1,0
4001,3,0,0,1,2,-1,0
781,1,0,1,0,0,0,-1
2702,2,0,1,0,1,-1,-1
1114,2,0,0,0,2,-2,0
4372,3,0,1,1,1,0,-1
3396,2,1,0,1,0,1,1
2809,3,1,0,1,1,0,1
865,2,0,1,1,0,1,-1
1503,1,1,0,0,0,0,1
3756,2,1,0,1,0,1,1
288,3,0,1,1,1,0,-1
1535,3,0,1,0,2,-2,-1
4200,2,1,0,0,1,-1,1
244,1,0,1,0,0,0,-1
216,3,0,1,0,2,-2,-1
2852,1,0,0,0,1,-1,0
4152,1,0,0,1,0,1,0
3739,3,1,0,2,0,2,1
3543,1,0,1,0,0,0,-1
843,1,1,0,0,0,0,1
3683,2,1,0,0,1,-1,1
