Team,Total Matches With,Wins With,Losses With,Wins Against,Losses Against,Delta Against,Delta With
27,12,6,4,0,2,-2,2
453,10,5,4,1,0,1,1
217,7,1,1,2,3,-1,0
440,6,0,2,2,2,0,-2
469,4,0,0,2,2,0,0
1506,4,1,0,2,1,1,1
245,4,0,0,3,1,2,0
247,4,1,0,2,1,1,1
1,3,1,0,1,1,0,1
5,5,1,1,2,1,1,0
703,4,1,1,2,0,2,0
835,4,1,0,1,2,-1,1
2337,2,1,0,0,1,-1,1
314,2,0,1,1,0,1,-1
1602,1,0,1,0,0,0,-1
302,1,0,0,0,1,-1,0
815,7,0,1,2,4,-2,-1
123,2,0,0,2,0,2,0
2431,3,0,0,2,1,1,0
1250,2,1,0,1,0,1,1
1718,2,1,0,0,1,-1,1
2048,1,0,0,1,0,1,0
519,1,0,0,1,0,1,0
903,1,0,0,1,0,1,0
515,1,0,1,0,0,0,-1
818,2,1,0,0,1,-1,1
1025,5,0,1,3,1,2,-1
184,1,0,0,0,1,-1,0
49,2,1,0,1,0,1,1
397,1,1,0,0,0,0,1
1528,5,0,0,3,2,1,0
494,5,2,2,0,1,-1,0
1023,3,1,2,0,0,0,-1
67,6,1,0,2,3,-1,1
503,6,1,1,2,2,0,0
326,5,1,0,2,2,0,1
240,1,1,0,0,0,0,1
470,2,1,0,1,0,1,1
66,2,1,0,1,0,1,1
201,2,1,0,1,0,1,1
68,4,2,0,2,0,2,2
65,1,0,0,1,0,1,0
226,1,0,0,1,0,1,0
2050,2,0,1,1,0,1,-1
910,2,1,1,0,0,0,0
33,1,0,0,0,1,-1,0
548,1,0,0,0,1,-1,0
461,2,0,1,1,0,1,-1
107,1,0,0,1,0,1,0
279,1,1,0,0,0,0,1
280,2,1,0,1,0,1,1
313,1,1,0,0,0,0,1
573,1,1,0,0,0,0,1
322,1,0,0,1,0,1,0
1998,1,0,0,1,0,1,0
1015,1,0,0,1,0,1,0
63,1,1,0,0,0,0,1
70,1,0,0,1,0,1,0
406,1,0,0,1,0,1,0
2576,1,0,1,0,0,0,-1
2612,1,0,0,0,1,-1,0
308,1,0,0,0,1,-1,0
116,1,1,0,0,0,0,1
829,1,0,0,1,0,1,0
234,1,0,0,1,0,1,0
71,1,0,0,1,0,1,0
2171,1,0,1,0,0,0,-1
2194,1,0,1,0,0,0,-1
1720,1,0,0,0,1,-1,0
2377,1,0,0,0,1,-1,0
1519,1,0,0,0,1,-1,0
16,1,1,0,0,0,0,1
101,1,0,0,1,0,1,0
1501,1,0,0,1,0,1,0
832,2,0,1,1,0,1,-1
1477,1,0,1,0,0,0,-1
1018,1,0,0,0,1,-1,0
968,3,0,0,0,3,-3,0
292,1,0,0,0,1,-1,0
1592,1,1,0,0,0,0,1
1126,1,1,0,0,0,0,1
1902,1,0,0,1,0,1,0
1675,1,0,0,1,0,1,0
1739,1,0,0,1,0,1,0
118,1,0,1,0,0,0,-1
93,1,0,1,0,0,0,-1
233,4,0,0,1,3,-2,0
1731,1,0,0,0,1,-1,0
141,2,0,0,0,2,-2,0
1243,1,0,0,1,0,1,0
111,3,1,0,2,0,2,1
2056,1,0,0,1,0,1,0
1503,1,1,0,0,0,0,1
135,1,1,0,0,0,0,1
888,1,0,0,1,0,1,0
1322,2,1,1,0,0,0,0
2054,1,0,1,0,0,0,-1
468,1,0,1,0,0,0,-1
1783,1,0,1,0,0,0,-1
2137,1,0,0,0,1,-1,0
379,1,0,0,0,1,-1,0
1502,1,0,0,1,0,1,0
359,2,0,2,0,0,0,-2
2591,2,0,2,0,0,0,-2
60,4,1,0,0,3,-3,1
610,1,1,0,0,0,0,1
868,1,0,0,1,0,1,0
547,1,0,0,1,0,1,0
488,1,1,0,0,0,0,1
312,2,0,1,1,0,1,-1
159,1,0,0,1,0,1,0
224,1,0,1,0,0,0,-1
20,1,0,0,0,1,-1,0
79,1,0,0,0,1,-1,0
922,1,0,1,0,0,0,-1
375,1,0,0,0,1,-1,0
296,1,0,0,0,1,-1,0
128,2,1,0,0,1,-1,1
102,1,0,0,0,1,-1,0
329,1,0,0,0,1,-1,0
241,1,0,0,1,0,1,0
120,1,0,1,0,0,0,-1
288,1,0,1,0,0,0,-1
207,1,0,0,0,1,-1,0
1108,1,0,0,0,1,-1,0
