Team,Total Matches With,Wins With,Losses With,Wins Against,Losses Against,Delta Against,Delta With
7200,2,1,0,0,1,-1,1
4903,3,1,1,0,1,-1,0
3655,3,0,1,2,0,2,-1
3571,2,0,0,1,1,0,0
4015,2,0,1,1,0,1,-1
7757,3,0,1,0,2,-2,-1
216,5,0,1,1,3,-2,-1
1305,2,1,0,0,1,-1,1
4932,1,0,0,0,1,-1,0
2013,3,0,1,0,2,-2,-1
288,2,0,1,0,1,-1,-1
1325,3,0,1,0,2,-2,-1
6461,1,0,1,0,0,0,-1
7664,1,0,1,0,0,0,-1
4938,3,0,1,1,1,0,-1
2771,4,0,1,1,2,-1,-1
4476,3,0,1,0,2,-2,-1
6481,3,0,1,2,0,2,-1
2634,3,0,1,0,2,-2,-1
6336,1,1,0,0,0,0,1
4688,2,1,0,1,0,1,1
6544,3,1,0,1,1,0,1
6331,3,1,1,1,0,1,0
781,2,1,0,0,1,-1,1
7480,1,0,1,0,0,0,-1
6513,2,0,1,0,1,-1,-1
7509,2,0,1,0,1,-1,-1
7558,2,0,0,0,2,-2,0
2198,2,0,0,1,1,0,0
7603,2,1,0,0,1,-1,1
4939,2,1,0,0,1,-1,1
907,2,0,0,1,1,0,0
5031,3,1,0,1,1,0,1
6977,2,0,0,2,0,2,0
3683,2,1,0,0,1,-1,1
854,2,1,0,1,0,1,1
7623,2,0,1,1,0,1,-1
1374,3,0,1,1,1,0,-1
6141,3,0,1,1,1,0,-1
2405,2,0,1,0,1,-1,-1
2935,2,0,1,1,0,1,-1
4039,4,1,0,0,3,-3,1
4343,1,0,1,0,0,0,-1
5834,3,0,0,0,3,-3,0
746,1,0,1,0,0,0,-1
6978,3,0,1,0,2,-2,-1
5870,1,0,1,0,0,0,-1
771,1,0,1,0,0,0,-1
1114,1,0,0,0,1,-1,0
4308,1,0,0,0,1,-1,0
865,2,1,1,0,0,0,0
7013,2,1,0,1,0,1,1
7723,2,0,1,1,0,1,-1
6009,1,0,0,0,1,-1,0
1310,1,0,1,0,0,0,-1
