Team,Total Matches With,Wins With,Losses With,Wins Against,Losses Against,Delta Against,Delta With
987,5,2,3,0,0,0,-1
4907,18,8,6,2,2,0,2
696,5,1,0,3,1,2,1
862,4,0,1,2,1,1,-1
5199,3,0,0,2,1,1,0
3284,1,1,0,0,0,0,1
6919,1,1,0,0,0,0,1
2073,1,0,0,1,0,1,0
4561,1,0,0,1,0,1,0
1073,1,0,0,1,0,1,0
4125,1,1,0,0,0,0,1
3536,1,1,0,0,0,0,1
1700,1,0,0,1,0,1,0
7174,1,0,0,1,0,1,0
8531,1,0,0,1,0,1,0
2129,1,0,1,0,0,0,-1
2611,1,0,0,0,1,-1,0
2046,1,0,0,0,1,-1,0
2491,1,0,0,0,1,-1,0
1296,1,1,0,0,0,0,1
2239,1,0,0,1,0,1,0
4472,1,0,0,1,0,1,0
8748,1,0,0,1,0,1,0
1796,1,1,0,0,0,0,1
6421,1,1,0,0,0,0,1
6510,1,0,0,1,0,1,0
2451,1,0,0,1,0,1,0
1885,2,1,0,1,0,1,1
4153,3,1,0,0,2,-2,1
695,1,1,0,0,0,0,1
5735,1,0,0,1,0,1,0
4639,1,0,0,1,0,1,0
1502,1,0,0,1,0,1,0
7451,1,0,1,0,0,0,-1
8177,1,0,1,0,0,0,-1
3008,1,0,0,0,1,-1,0
8020,1,0,0,0,1,-1,0
1690,1,0,0,0,1,-1,0
195,1,1,0,0,0,0,1
6637,1,1,0,0,0,0,1
16,1,0,0,1,0,1,0
2626,1,0,0,1,0,1,0
1138,1,1,0,0,0,0,1
59,1,1,0,0,0,0,1
1089,1,0,0,1,0,1,0
620,1,0,0,1,0,1,0
5727,1,0,0,1,0,1,0
3218,1,0,0,1,0,1,0
4598,1,0,0,1,0,1,0
6024,1,0,0,1,0,1,0
604,2,0,0,0,2,-2,0
1323,2,0,0,0,2,-2,0
2200,7,3,3,0,1,-1,0
4678,10,0,1,4,5,-1,-1
5406,8,2,0,2,4,-2,2
4917,15,5,0,6,4,2,5
4015,8,2,3,3,0,3,-1
781,2,1,1,0,0,0,0
4476,17,6,4,4,3,1,2
2056,21,13,1,3,4,-1,12
610,8,1,1,5,1,4,0
1334,4,0,1,2,1,1,-1
772,6,0,1,4,1,3,-1
4617,7,1,1,4,1,3,0
1241,15,4,1,7,3,4,3
6875,2,0,0,2,0,2,0
4069,6,1,1,4,0,4,0
8089,5,5,0,0,0,0,5
4039,5,1,0,3,1,2,1
5024,6,1,0,5,0,5,1
4946,8,1,0,6,1,5,1
3161,7,0,1,4,2,2,-1
8765,5,1,0,4,0,4,1
3560,4,2,0,0,2,-2,2
8574,4,0,2,2,0,2,-2
6135,5,1,0,4,0,4,1
4252,3,0,1,2,0,2,-1
4152,8,7,1,0,0,0,6
3683,8,2,0,4,2,2,2
4976,2,0,0,2,0,2,0
2198,1,1,0,0,0,0,1
8731,2,0,1,1,0,1,-1
8789,1,0,0,1,0,1,0
1360,4,1,1,2,0,2,0
5032,1,0,0,0,1,-1,0
8729,1,0,0,0,1,-1,0
1325,7,1,0,2,4,-2,1
7659,2,0,1,1,0,1,-1
1305,1,0,0,0,1,-1,0
3739,1,0,0,1,0,1,0
4343,5,0,1,4,0,4,-1
2386,1,0,0,1,0,1,0
5031,1,1,0,0,0,0,1
7520,4,2,0,2,0,2,2
3543,1,0,0,1,0,1,0
7902,1,1,0,0,0,0,1
6864,1,1,0,0,0,0,1
771,1,1,0,0,0,0,1
4951,7,2,0,3,2,1,2
6865,1,0,0,1,0,1,0
5036,1,0,0,1,0,1,0
4903,4,2,0,1,1,0,2
2013,1,0,0,1,0,1,0
2609,1,0,0,1,0,1,0
8764,1,1,0,0,0,0,1
914,1,0,0,1,0,1,0
865,10,4,4,2,0,2,0
8735,1,0,0,1,0,1,0
8850,1,0,0,1,0,1,0
7757,2,1,0,1,0,1,1
5409,1,0,0,1,0,1,0
6397,1,0,0,1,0,1,0
7480,6,2,0,4,0,4,2
9998,3,0,0,2,1,1,0
9985,3,0,0,2,1,1,0
9989,6,0,1,3,2,1,-1
3015,1,0,0,1,0,1,0
9999,2,1,0,0,1,-1,1
9992,2,1,0,0,1,-1,1
