Team,Total Matches With,Wins With,Losses With,Wins Against,Losses Against,Delta Against,Delta With
1678,12,9,3,0,0,0,6
1640,12,9,3,0,0,0,6
469,5,0,0,1,4,-3,0
2848,3,0,0,1,2,-1,0
254,10,5,2,1,2,-1,3
973,2,0,0,2,0,2,0
67,3,0,0,2,1,1,0
2481,3,0,0,3,0,3,0
330,7,4,2,1,0,1,2
2056,15,7,1,2,5,-3,6
1625,2,0,0,0,2,-2,0
624,3,0,1,2,0,2,-1
33,3,0,0,2,1,1,0
447,2,0,0,2,0,2,0
461,1,1,0,0,0,0,1
20,2,1,0,0,1,-1,1
4488,2,1,0,1,0,1,1
74,1,0,1,0,0,0,-1
868,1,0,1,0,0,0,-1
118,1,0,0,0,1,-1,0
2468,1,0,0,0,1,-1,0
27,3,0,0,2,1,1,0
503,1,1,0,0,0,0,1
3098,1,1,0,0,0,0,1
125,1,0,0,1,0,1,0
1310,1,0,0,1,0,1,0
3478,2,1,0,1,0,1,1
1806,4,0,1,2,1,1,-1
2614,1,0,1,0,0,0,-1
1817,2,0,0,1,1,0,0
4039,15,5,2,5,3,2,3
1086,1,0,1,0,0,0,-1
148,1,0,1,0,0,0,-1
340,7,0,1,4,2,2,-1
16,1,0,0,0,1,-1,0
2337,1,0,0,0,1,-1,0
2451,3,0,1,2,0,2,-1
1718,3,0,0,2,1,1,0
195,1,0,0,0,1,-1,0
573,1,0,0,0,1,-1,0
4265,1,0,1,0,0,0,-1
3683,11,4,3,2,2,0,1
1741,1,0,0,0,1,-1,0
1024,1,0,1,0,0,0,-1
1730,1,0,1,0,0,0,-1
494,1,0,0,0,1,-1,0
2175,1,0,0,0,1,-1,0
234,1,0,0,0,1,-1,0
1108,1,0,0,1,0,1,0
179,1,0,0,1,0,1,0
1619,1,0,0,1,0,1,0
971,2,0,0,2,0,2,0
341,3,0,0,3,0,3,0
1983,2,0,0,2,0,2,0
2486,2,1,0,1,0,1,1
610,6,0,1,3,2,1,-1
1285,11,3,0,6,2,4,3
3284,2,1,0,1,0,1,1
5124,1,1,0,0,0,0,1
190,1,1,0,0,0,0,1
5190,1,0,0,1,0,1,0
525,1,0,0,1,0,1,0
3018,1,0,0,1,0,1,0
5010,1,1,0,0,0,0,1
120,1,1,0,0,0,0,1
58,1,0,0,1,0,1,0
1507,2,1,0,1,0,1,1
4355,1,0,0,1,0,1,0
4645,1,1,0,0,0,0,1
5057,1,1,0,0,0,0,1
1574,1,0,0,1,0,1,0
48,1,0,0,1,0,1,0
910,1,1,0,0,0,0,1
1986,2,1,0,1,0,1,1
2415,1,0,0,1,0,1,0
3238,1,0,0,1,0,1,0
3602,1,1,0,0,0,0,1
4061,1,1,0,0,0,0,1
4997,1,0,0,1,0,1,0
4481,1,0,0,1,0,1,0
1731,1,0,0,1,0,1,0
5188,1,1,0,0,0,0,1
1511,2,2,0,0,0,0,2
1156,1,0,0,1,0,1,0
3928,3,0,0,2,1,1,0
4949,1,0,0,1,0,1,0
3528,1,1,0,0,0,0,1
1305,7,2,0,5,0,5,2
1294,1,0,0,1,0,1,0
612,1,1,0,0,0,0,1
2035,1,0,0,1,0,1,0
623,1,0,0,1,0,1,0
5310,1,1,0,0,0,0,1
3539,1,1,0,0,0,0,1
3880,1,0,0,1,0,1,0
1126,9,5,3,1,0,1,2
3847,1,0,0,1,0,1,0
997,1,0,1,0,0,0,-1
1014,1,0,0,0,1,-1,0
811,1,0,0,0,1,-1,0
4464,1,0,0,0,1,-1,0
368,3,0,0,2,1,1,0
3951,9,5,3,0,1,-1,2
1241,13,2,0,6,5,1,2
378,3,1,0,0,2,-2,1
3003,3,0,1,2,0,2,-1
865,5,0,1,4,0,4,-1
4914,3,0,0,3,0,3,0
5254,1,1,0,0,0,0,1
578,1,0,0,1,0,1,0
4001,1,0,0,1,0,1,0
1405,1,0,0,1,0,1,0
174,1,0,0,1,0,1,0
1559,2,0,0,2,0,2,0
3157,1,0,1,0,0,0,-1
3710,1,1,0,0,0,0,1
2228,1,1,0,0,0,0,1
5433,1,0,0,1,0,1,0
3173,1,0,0,1,0,1,0
1585,1,0,0,1,0,1,0
4343,1,1,0,0,0,0,1
1551,1,0,0,1,0,1,0
4930,1,0,0,1,0,1,0
2994,4,0,0,4,0,4,0
1518,4,0,1,2,1,1,-1
4476,5,1,0,1,3,-2,1
3181,1,0,0,0,1,-1,0
3015,1,0,0,0,1,-1,0
4718,6,3,2,1,0,1,1
1325,6,2,0,4,0,4,2
3161,7,3,0,4,0,4,3
1075,2,1,0,1,0,1,1
5158,1,0,0,1,0,1,0
244,1,0,0,1,0,1,0
2198,4,1,0,1,2,-1,1
3386,2,1,0,1,0,1,1
3988,1,0,0,1,0,1,0
1547,1,0,0,1,0,1,0
5031,1,1,0,0,0,0,1
3985,2,1,0,1,0,1,1
4727,1,0,0,1,0,1,0
746,2,1,0,1,0,1,1
216,1,0,0,1,0,1,0
1404,2,1,0,1,0,1,1
3360,2,1,0,1,0,1,1
1246,1,0,0,1,0,1,0
1219,1,0,0,1,0,1,0
2609,4,1,0,3,0,3,1
288,1,0,0,1,0,1,0
5036,1,1,0,0,0,0,1
2601,1,1,0,0,0,0,1
886,1,0,0,1,0,1,0
3550,1,1,0,0,0,0,1
781,4,3,0,1,0,1,3
854,3,1,0,2,0,2,1
4825,2,1,0,1,0,1,1
4783,1,0,0,1,0,1,0
4248,1,0,0,1,0,1,0
1503,1,0,0,1,0,1,0
907,1,1,0,0,0,0,1
3986,1,0,0,1,0,1,0
2013,1,0,0,1,0,1,0
4907,8,5,2,1,0,1,3
4069,5,0,1,4,0,4,-1
5039,3,1,0,2,0,2,1
4525,7,1,0,5,1,4,1
3756,1,1,0,0,0,0,1
4732,3,1,0,2,0,2,1
5033,2,0,0,2,0,2,0
3949,2,0,0,2,0,2,0
4992,6,1,0,3,2,1,1
2702,3,0,0,3,0,3,0
4678,6,1,1,3,1,2,0
4943,3,0,0,2,1,1,0
4777,2,0,1,1,0,1,-1
