Team,Total Matches With,Wins With,Losses With,Wins Against,Losses Against,Delta Against,Delta With
3352,2,0,1,0,1,-1,-1
5431,1,0,1,0,0,0,-1
2491,1,0,0,0,1,-1,0
3507,1,0,0,0,1,-1,0
2767,1,0,0,0,1,-1,0
5437,1,0,1,0,0,0,-1
75,2,0,1,0,1,-1,-1
829,1,0,0,0,1,-1,0
193,1,0,0,0,1,-1,0
5402,1,0,0,0,1,-1,0
1768,1,1,0,0,0,0,1
3140,1,1,0,0,0,0,1
5458,1,0,0,1,0,1,0
3653,1,0,0,1,0,1,0
4039,1,0,0,1,0,1,0
3536,1,1,0,0,0,0,1
1718,1,1,0,0,0,0,1
3566,1,0,0,1,0,1,0
4253,1,0,0,1,0,1,0
1425,1,0,0,1,0,1,0
337,1,0,1,0,0,0,-1
3512,1,0,1,0,0,0,-1
2852,2,1,0,0,1,-1,1
1717,1,0,0,0,1,-1,0
2630,1,0,0,0,1,-1,0
3881,1,0,1,0,0,0,-1
3844,1,0,1,0,0,0,-1
2130,1,0,0,0,1,-1,0
329,1,0,0,0,1,-1,0
1024,1,0,0,0,1,-1,0
4967,1,0,1,0,0,0,-1
4536,1,0,1,0,0,0,-1
1986,1,0,0,0,1,-1,0
5689,2,0,0,1,1,0,0
126,1,0,0,0,1,-1,0
5515,1,0,1,0,0,0,-1
4381,1,0,1,0,0,0,-1
5546,1,0,0,0,1,-1,0
144,1,0,0,0,1,-1,0
128,1,0,0,0,1,-1,0
1369,1,0,1,0,0,0,-1
1625,1,0,1,0,0,0,-1
4911,1,0,0,0,1,-1,0
1592,1,0,0,0,1,-1,0
4183,1,0,1,0,0,0,-1
5291,1,0,1,0,0,0,-1
2834,1,0,0,0,1,-1,0
5465,1,0,0,0,1,-1,0
3360,2,2,0,0,0,0,2
4946,2,1,1,0,0,0,0
4343,5,0,1,3,1,2,-1
1325,3,1,0,1,1,0,1
5631,1,0,0,1,0,1,0
4069,2,0,1,0,1,-1,-1
3705,1,0,0,0,1,-1,0
919,1,0,0,0,1,-1,0
865,2,0,0,0,2,-2,0
5580,1,0,1,0,0,0,-1
4777,1,0,0,0,1,-1,0
5759,1,0,0,0,1,-1,0
5092,2,0,1,1,0,1,-1
2994,3,0,1,0,2,-2,-1
188,1,0,0,0,1,-1,0
1114,2,0,0,0,2,-2,0
4939,1,1,0,0,0,0,1
1241,1,1,0,0,0,0,1
5076,3,0,0,2,1,1,0
5032,2,0,1,1,0,1,-1
4914,1,1,0,0,0,0,1
1310,1,1,0,0,0,0,1
5519,1,0,0,1,0,1,0
1547,1,0,0,1,0,1,0
5680,1,1,0,0,0,0,1
4001,1,1,0,0,0,0,1
1285,2,0,0,1,1,0,0
5581,2,0,1,1,0,1,-1
5699,1,1,0,0,0,0,1
3541,1,0,0,1,0,1,0
5776,1,0,0,1,0,1,0
854,1,0,1,0,0,0,-1
610,1,0,0,0,1,-1,0
4951,2,0,1,0,1,-1,-1
5598,1,0,1,0,0,0,-1
2634,1,0,0,0,1,-1,0
2609,1,0,0,0,1,-1,0
886,1,0,1,0,0,0,-1
3949,1,0,0,0,1,-1,0
907,1,0,0,0,1,-1,0
5288,2,1,0,0,1,-1,1
4519,2,1,0,1,0,1,1
2959,2,1,0,1,0,1,1
3571,1,0,0,1,0,1,0
3175,1,0,0,1,0,1,0
3598,2,0,1,1,0,1,-1
4923,1,0,0,1,0,1,0
4618,1,0,1,0,0,0,-1
4940,2,0,1,0,1,-1,-1
4357,1,0,0,0,1,-1,0
5589,2,0,1,0,1,-1,-1
4716,1,0,1,0,0,0,-1
244,1,0,0,0,1,-1,0
3739,2,1,0,0,1,-1,1
772,1,1,0,0,0,0,1
4938,1,0,0,1,0,1,0
4920,1,0,0,1,0,1,0
3756,1,0,0,1,0,1,0
4992,1,1,0,0,0,0,1
5408,2,0,1,1,0,1,-1
4525,2,0,1,1,0,1,-1
4976,3,0,1,0,2,-2,-1
4617,1,0,0,0,1,-1,0
3683,1,0,0,0,1,-1,0
5426,1,0,1,0,0,0,-1
4921,1,0,0,0,1,-1,0
288,1,0,1,0,0,0,-1
4903,1,0,0,0,1,-1,0
4907,1,0,1,0,0,0,-1
4814,1,0,1,0,0,0,-1
216,1,0,0,0,1,-1,0
5483,1,0,0,0,1,-1,0
