Team,Total Matches With,Wins With,Losses With,Wins Against,Losses Against,Delta Against,Delta With
768,2,0,2,0,0,0,-2
1533,3,1,2,0,0,0,-1
494,5,1,0,1,3,-2,1
997,3,0,1,0,2,-2,-1
254,4,1,0,1,2,-1,1
1601,1,1,0,0,0,0,1
1029,1,1,0,0,0,0,1
555,1,0,0,1,0,1,0
125,1,0,0,1,0,1,0
1501,1,0,0,1,0,1,0
1506,7,1,2,2,2,0,-1
435,1,0,1,0,0,0,-1
58,1,0,0,0,1,-1,0
462,1,0,0,0,1,-1,0
1516,2,1,0,0,1,-1,1
1795,2,0,1,1,0,1,-1
2180,1,0,0,0,1,-1,0
66,1,0,0,0,1,-1,0
1403,1,0,0,0,1,-1,0
1302,1,1,0,0,0,0,1
1266,1,0,0,1,0,1,0
337,1,0,0,1,0,1,0
2062,1,0,1,0,0,0,-1
857,1,0,1,0,0,0,-1
27,4,0,0,0,4,-4,0
1997,1,0,0,0,1,-1,0
1127,2,0,0,0,2,-2,0
1216,2,1,0,1,0,1,1
288,2,0,0,2,0,2,0
904,3,0,1,2,0,2,-1
1559,1,0,0,1,0,1,0
611,1,0,1,0,0,0,-1
1731,1,0,1,0,0,0,-1
4,1,0,0,0,1,-1,0
1286,5,2,2,1,0,1,0
2283,5,2,3,0,0,0,-1
2048,2,0,0,2,0,2,0
1701,4,0,0,3,1,2,0
1250,5,1,1,2,1,1,0
1481,6,3,1,1,1,0,2
703,2,1,0,0,1,-1,1
515,5,2,0,2,1,1,2
302,6,0,0,3,3,0,0
1602,7,2,2,3,0,3,0
1254,3,0,1,2,0,2,-1
406,2,0,0,1,1,0,0
519,4,4,0,0,0,0,4
33,1,0,0,1,0,1,0
2224,2,2,0,0,0,0,2
5,1,0,0,1,0,1,0
1718,3,2,0,0,1,-1,2
123,4,0,0,1,3,-2,0
397,2,0,0,2,0,2,0
903,4,0,1,1,2,-1,-1
1941,2,0,0,0,2,-2,0
1476,1,0,1,0,0,0,-1
247,4,0,0,1,3,-2,0
2050,1,0,0,1,0,1,0
217,2,0,0,2,0,2,0
314,1,0,0,1,0,1,0
1024,2,1,0,1,0,1,1
968,1,1,0,0,0,0,1
1747,2,1,0,1,0,1,1
1038,1,0,0,1,0,1,0
2197,2,0,0,2,0,2,0
1108,1,0,1,0,0,0,-1
868,1,0,1,0,0,0,-1
980,1,0,0,0,1,-1,0
233,2,1,0,0,1,-1,1
111,4,0,0,1,3,-2,0
1555,1,1,0,0,0,0,1
832,1,0,0,1,0,1,0
67,2,0,0,2,0,2,0
1646,1,0,0,1,0,1,0
93,2,1,0,1,0,1,1
177,1,0,0,1,0,1,0
1018,2,0,1,1,0,1,-1
1739,1,0,0,1,0,1,0
1720,1,1,0,0,0,0,1
1528,1,1,0,0,0,0,1
330,1,0,0,1,0,1,0
71,1,0,0,1,0,1,0
1902,1,1,0,0,0,0,1
447,1,0,0,1,0,1,0
1732,1,0,0,1,0,1,0
910,2,1,0,1,0,1,1
829,1,1,0,0,0,0,1
45,1,0,0,1,0,1,0
1114,1,1,0,0,0,0,1
135,1,1,0,0,0,0,1
1760,1,0,0,1,0,1,0
573,1,0,0,1,0,1,0
74,4,1,2,1,0,1,-1
2188,4,2,2,0,0,0,0
1504,5,1,0,2,2,0,1
469,2,0,1,0,1,-1,-1
1940,1,0,1,0,0,0,-1
818,3,1,0,1,1,0,1
1783,1,0,1,0,0,0,-1
858,1,0,0,0,1,-1,0
141,1,0,0,0,1,-1,0
383,3,3,0,0,0,0,3
1327,1,1,0,0,0,0,1
1918,1,0,0,1,0,1,0
453,1,0,0,1,0,1,0
2145,1,0,1,0,0,0,-1
2075,1,0,0,0,1,-1,0
322,1,0,1,0,0,0,-1
245,1,0,0,0,1,-1,0
2015,2,0,0,1,1,0,0
518,1,0,0,1,0,1,0
1677,1,0,0,1,0,1,0
