Team,Total Matches With,Wins With,Losses With,Wins Against,Losses Against,Delta Against,Delta With
70,9,6,3,0,0,0,3
48,10,7,3,0,0,0,4
503,4,0,0,2,2,0,0
451,6,1,0,3,2,1,1
1139,4,0,0,2,2,0,0
1305,7,0,0,6,1,5,0
180,4,0,0,3,1,2,0
358,4,1,0,2,1,1,1
293,1,1,0,0,0,0,1
488,1,1,0,0,0,0,1
1511,3,0,0,3,0,3,0
1717,1,0,0,1,0,1,0
378,1,0,0,1,0,1,0
121,3,1,0,2,0,2,1
1574,1,0,0,1,0,1,0
1468,1,0,0,1,0,1,0
222,1,0,0,1,0,1,0
1807,1,1,0,0,0,0,1
1089,1,1,0,0,0,0,1
22,1,0,0,1,0,1,0
302,2,1,0,1,0,1,1
9,1,0,0,1,0,1,0
842,1,1,0,0,0,0,1
540,1,0,0,1,0,1,0
752,1,0,0,1,0,1,0
65,6,1,0,5,0,5,1
1655,1,1,0,0,0,0,1
192,1,0,0,1,0,1,0
228,1,0,0,1,0,1,0
710,1,0,0,1,0,1,0
1616,1,0,1,0,0,0,-1
247,1,0,1,0,0,0,-1
395,1,0,0,0,1,-1,0
148,1,0,0,0,1,-1,0
108,1,0,0,0,1,-1,0
128,1,1,0,0,0,0,1
79,1,0,0,1,0,1,0
279,2,0,0,2,0,2,0
1503,12,11,1,0,0,0,10
67,8,6,1,1,0,1,5
469,3,0,0,2,1,1,0
815,2,0,0,2,0,2,0
1015,3,0,0,3,0,3,0
27,2,0,0,2,0,2,0
1680,3,3,0,0,0,0,3
33,1,1,0,0,0,0,1
1596,3,1,0,2,0,2,1
573,1,0,0,1,0,1,0
862,2,1,0,0,1,-1,1
280,1,1,0,0,0,0,1
57,1,0,0,1,0,1,0
1213,1,0,0,1,0,1,0
1023,1,0,0,1,0,1,0
1189,3,2,0,1,0,1,2
894,1,1,0,0,0,0,1
1767,1,0,0,1,0,1,0
1322,1,0,0,1,0,1,0
314,1,0,0,1,0,1,0
406,1,0,1,0,0,0,-1
453,2,0,1,1,0,1,-1
226,1,0,0,0,1,-1,0
470,1,1,0,0,0,0,1
66,4,0,0,3,1,2,0
857,1,0,0,1,0,1,0
903,1,1,0,0,0,0,1
1701,1,0,0,1,0,1,0
313,1,0,0,1,0,1,0
326,1,1,0,0,0,0,1
1549,4,1,0,2,1,1,1
1528,1,0,0,1,0,1,0
910,1,0,0,1,0,1,0
322,1,1,0,0,0,0,1
1718,1,1,0,0,0,0,1
245,1,0,0,1,0,1,0
1764,1,0,0,1,0,1,0
519,1,0,0,1,0,1,0
68,7,2,0,4,1,3,2
703,1,1,0,0,0,0,1
1246,2,0,0,2,0,2,0
1141,1,0,0,1,0,1,0
1482,1,0,0,1,0,1,0
1244,1,1,0,0,0,0,1
1281,8,5,0,3,0,3,5
1558,5,0,0,5,0,5,0
1870,1,0,1,0,0,0,-1
63,1,0,1,0,0,0,-1
188,3,0,0,2,1,1,0
907,1,0,0,0,1,-1,0
1219,4,3,0,0,1,-1,3
1404,1,1,0,0,0,0,1
1547,1,1,0,0,0,0,1
178,1,0,0,1,0,1,0
1392,1,0,0,1,0,1,0
1075,1,0,0,1,0,1,0
919,2,1,0,1,0,1,1
1006,1,1,0,0,0,0,1
781,6,1,0,5,0,5,1
610,2,1,0,1,0,1,1
912,4,1,0,3,0,3,1
1570,1,1,0,0,0,0,1
1310,1,1,0,0,0,0,1
776,1,0,0,1,0,1,0
772,4,2,0,2,0,2,2
229,1,1,0,0,0,0,1
1835,1,1,0,0,0,0,1
1330,1,0,0,1,0,1,0
1325,1,0,0,1,0,1,0
1564,1,0,0,1,0,1,0
1815,3,1,0,2,0,2,1
771,4,2,0,2,0,2,2
1419,1,0,0,1,0,1,0
1620,1,0,0,1,0,1,0
1397,1,0,0,1,0,1,0
1084,4,1,0,3,0,3,1
1605,5,1,0,4,0,4,1
830,2,1,0,1,0,1,1
854,2,1,0,1,0,1,1
1846,1,1,0,0,0,0,1
1901,3,0,0,3,0,3,0
1334,3,1,0,2,0,2,1
1112,2,1,0,1,0,1,1
931,2,0,0,2,0,2,0
859,2,0,0,2,0,2,0
758,1,1,0,0,0,0,1
