Team,Total Matches With,Wins With,Losses With,Wins Against,Losses Against,Delta Against,Delta With
913,1,0,1,0,0,0,-1
886,1,0,0,0,1,-1,0
773,1,0,0,0,1,-1,0
1486,1,0,1,0,0,0,-1
703,1,0,0,0,1,-1,0
22,1,0,0,0,1,-1,0
48,1,1,0,0,0,0,1
1229,1,0,0,1,0,1,0
1221,1,0,0,1,0,1,0
1330,1,0,1,0,0,0,-1
919,1,0,0,0,1,-1,0
1219,1,0,0,0,1,-1,0
1075,1,1,0,0,0,0,1
907,1,0,0,1,0,1,0
772,1,0,0,1,0,1,0
1112,1,0,1,0,0,0,-1
1009,1,0,0,0,1,-1,0
783,1,0,0,0,1,-1,0
1392,1,0,1,0,0,0,-1
865,1,0,0,0,1,-1,0
1334,1,0,0,0,1,-1,0
1084,1,1,0,0,0,0,1
912,1,0,0,1,0,1,0
301,1,0,0,1,0,1,0
