Team,Total Matches With,Wins With,Losses With,Wins Against,Losses Against,Delta Against,Delta With
201,6,2,3,1,0,1,-1
111,4,0,0,1,3,-2,0
469,1,0,0,0,1,-1,0
547,3,3,0,0,0,0,3
65,2,0,0,1,1,0,0
384,3,1,0,1,1,0,1
69,2,0,0,1,1,0,0
647,1,0,0,1,0,1,0
250,1,0,0,1,0,1,0
665,2,1,0,1,0,1,1
703,1,0,0,1,0,1,0
903,1,0,0,1,0,1,0
1158,1,1,0,0,0,0,1
147,1,0,0,1,0,1,0
1140,2,0,0,1,1,0,0
353,2,0,1,1,0,1,-1
953,1,0,0,1,0,1,0
606,1,1,0,0,0,0,1
97,1,0,0,1,0,1,0
771,1,0,0,1,0,1,0
618,2,0,0,1,1,0,0
433,2,0,0,1,1,0,0
68,1,0,1,0,0,0,-1
292,1,0,0,0,1,-1,0
862,1,1,0,0,0,0,1
407,1,0,0,1,0,1,0
247,1,0,0,1,0,1,0
519,2,1,0,0,1,-1,1
240,1,0,0,1,0,1,0
453,1,0,0,1,0,1,0
5,1,0,1,0,0,0,-1
503,1,0,0,0,1,-1,0
49,2,0,1,0,1,-1,-1
440,2,0,1,1,0,1,-1
326,2,1,0,0,1,-1,1
557,1,0,0,0,1,-1,0
182,1,0,1,0,0,0,-1
494,4,0,0,1,3,-2,0
560,1,0,0,0,1,-1,0
67,4,1,2,0,1,-1,-1
35,2,0,0,2,0,2,0
322,1,0,0,1,0,1,0
1000,2,1,1,0,0,0,0
85,1,0,0,1,0,1,0
910,1,0,1,0,0,0,-1
235,2,1,0,0,1,-1,1
128,2,1,0,0,1,-1,1
515,1,0,1,0,0,0,-1
71,3,0,0,0,3,-3,0
141,1,0,1,0,0,0,-1
406,2,0,0,1,1,0,0
818,3,0,0,2,1,1,0
74,1,0,0,1,0,1,0
573,1,0,0,0,1,-1,0
397,1,0,0,0,1,-1,0
518,1,1,0,0,0,0,1
288,2,0,1,1,0,1,-1
658,2,0,0,1,1,0,0
904,1,0,0,0,1,-1,0
1213,1,0,0,1,0,1,0
902,4,0,0,0,4,-4,0
33,1,0,1,0,0,0,-1
191,1,0,1,0,0,0,-1
73,1,1,0,0,0,0,1
883,1,0,0,1,0,1,0
174,1,0,0,1,0,1,0
835,1,1,0,0,0,0,1
808,2,0,0,2,0,2,0
1122,1,0,0,1,0,1,0
226,1,1,0,0,0,0,1
144,1,0,0,1,0,1,0
276,1,0,0,1,0,1,0
94,1,1,0,0,0,0,1
966,2,1,0,1,0,1,1
211,1,0,0,1,0,1,0
1001,1,0,0,1,0,1,0
63,1,1,0,0,0,0,1
1206,1,0,0,1,0,1,0
1008,1,1,0,0,0,0,1
677,1,0,0,1,0,1,0
382,1,0,0,1,0,1,0
