Event Code,Top2,Top4,Top8,Top24
2025mxto,1552.3000000000002,1519.625,1492.5,1434.4285714285716
2025ncash,1635.6000000000001,1608.9,1532.0,
2025nccat,1628.2,1611.1999999999998,1575.4,1414.9
2025ncgre,1602.4,1568.6000000000001,1532.25,1380.0
2025ncmec,1635.6000000000001,1624.0,1559.3,
2025ncpem,1552.1999999999998,1544.6,1510.4,1395.0
2025ncwak,1711.1,1561.8000000000002,1532.3,1389.125
2025ndgf,1681.9,1631.0,1605.0,1532.2
2025nhdur,1796.7999999999997,1698.3999999999999,1617.7,1511.0
2025nhsal,1796.7999999999997,1693.9,1627.8,1483.1
2025njfla,1601.8,1590.6000000000001,1561.7,1461.1000000000001
2025njrob,1715.5,1690.4,1561.7,1422.1000000000001
2025njski,1656.7,1571.8,1543.9,1453.0
2025njtab,1712.8,1621.5,1554.6000000000001,1456.4
2025njwas,1621.5,1593.3000000000002,1557.8000000000002,1410.125
2025ntwc,1588.4,1555.9,1535.25,1465.0
2025nvlv,1779.1999999999998,1612.9,1600.8000000000002,1472.7
2025nyli2,1638.7,1626.5,1572.9,1495.4
2025nyny,1751.8999999999999,1598.8,1513.2,1440.4
2025nyro,1701.9,1690.6999999999998,1631.4,1529.2
2025nysu,1751.8999999999999,1638.7,1604.7,1508.2
2025nytr,1680.3,1633.0,1588.625,1526.3
2025ohcl,1690.6999999999998,1640.3000000000002,1571.5,1512.1
2025ohmv,1655.9,1618.3,1594.1,1518.9
2025okok,1689.3,1655.3000000000002,1587.1000000000001,1530.7
2025oktu,1657.6,1609.5,1562.0,1494.75
2025onham,1759.1,1731.2,1586.0,1433.4
2025onnew,1711.8999999999999,1660.1,1621.5,1476.875
2025onnob,1651.8000000000002,1621.5,1585.0,1458.4
2025onosh,1703.8,1625.3000000000002,1547.3000000000002,1458.4
2025onsca,1623.1000000000001,1588.0,1569.625,1418.0
2025ontor,1660.1,1607.7,1560.875,1418.0
2025onwat,1746.6999999999998,1644.0,1583.375,1425.0
2025onwel,1759.1,1749.0,1605.3,1456.7
2025onwin,1684.9999999999998,1593.5,1572.4,1418.875
2025orore,1652.0,1641.1000000000001,1611.4,1436.3
2025orsal,1712.0,1614.4,1561.0,1487.9
2025orwil,1712.0,1650.4,1611.4,1483.625
2025paben,1695.0,1605.0,1575.9,1475.5
2025paca,1705.1,1601.1999999999998,1572.6,1505.875
2025pahat,1722.6,1690.8,1641.5,1465.2
2025paphi,1698.9,1644.0,1578.375,
2025pawar,1712.8,1647.6999999999998,1545.9,1412.0
2025qcmo,1637.4,1601.0,1552.5,1478.625
2025rikin,1704.1,1667.4,1624.8,1514.4
2025sccha,1653.8000000000002,1581.7,1558.6,1377.25
2025schar,1653.8000000000002,1623.1,1560.1999999999998,1416.0
2025tnkn,1692.7,1629.2999999999997,1579.9,1504.8000000000002
2025tuak,1505.0,1489.125,1451.0,1368.0
2025tuhc,1605.4,1561.7,1505.0,1435.8000000000002
2025tuis,1581.7,1556.7,1529.8000000000002,1407.0
2025tuis2,1615.125,1594.1,1497.5,1416.3
2025tuis3,1654.0,1574.625,1498.6,1418.0
2025txama,1709.875,1606.75,1565.3,1435.9
2025txbel,1646.8,1606.0,1572.6,1452.3
2025txcle,1607.8,1572.6,1532.2,1426.2
2025txfor,1746.6,1611.0,1606.0,1452.1
2025txhou,1761.9,1602.6000000000001,1478.0,1398.1
2025txman,1761.6999999999998,1636.5,1562.4,
2025txpla,1746.1,1709.875,1586.375,1407.0
2025txsan,1611.0,1574.5,1517.9,1450.2
2025txtom,1761.6999999999998,1700.8,1553.3000000000002,1452.3
2025txvic,1700.8,1607.8,1551.0,
2025txwac,1770.6,1743.6000000000001,1625.8999999999999,1496.7
2025utwv,1707.1,1612.9,1563.6000000000001,1509.7
2025vaale,1678.3999999999999,1596.6,1570.7,1475.2
2025vabla,1654.2,1613.4,1595.6000000000001,1442.3000000000002
2025vagle,1711.0,1613.4,1574.3000000000002,1450.875
2025vapor,1683.5,1654.2,1589.2,1447.4
2025vtbur,1654.8,1641.9,1569.1000000000001,1476.7
2025waahs,1800.6,1708.3999999999999,1617.0,1485.2
2025wabon,1703.3,1635.1,1579.1,1427.3000000000002
2025wasam,1698.0,1625.6000000000001,1596.4,1473.7
2025wasno,1708.3999999999999,1698.0,1635.1,1488.5
2025wayak,1708.3999999999999,1625.6000000000001,1562.1000000000001,1492.5
2025wila,1658.3,1603.4,1581.7,1533.3999999999999
2025wimi,1697.1,1619.6000000000001,1584.2,1524.8999999999999
2025wimu,1712.8,1697.1,1618.4,1468.4
