Team,Total Matches With,Wins With,Losses With,Ties With,Wins Against,Losses Against,Ties Against,Delta Against
2377,33,5,5,0,12,11,0,1
1577,1,0,0,0,1,0,0,1
1261,1,1,0,0,0,0,0,0
1504,1,0,0,0,1,0,0,1
2342,1,0,0,0,1,0,0,1
1795,1,0,0,0,1,0,0,1
1195,7,1,1,0,1,4,0,-3
2528,4,0,2,0,0,2,0,-2
2537,27,8,6,0,7,6,0,1
2534,25,5,4,0,8,8,0,0
2546,4,0,0,0,2,2,0,0
1626,2,1,0,0,1,0,0,1
2120,1,0,1,0,0,0,0,0
1027,1,0,0,0,0,1,0,-1
1618,2,1,0,0,0,1,0,-1
204,3,0,1,0,2,0,0,2
1933,2,1,0,0,1,0,0,1
2132,1,0,0,0,1,0,0,1
357,5,0,4,0,1,0,0,1
84,4,0,0,0,1,3,0,-2
708,3,0,2,0,0,1,0,-1
2229,1,0,0,0,0,1,0,-1
284,1,0,0,0,0,1,0,-1
467,7,3,2,0,0,2,0,-2
433,1,0,0,0,0,1,0,-1
1712,3,1,0,0,0,2,0,-2
2539,6,4,0,0,0,2,0,-2
809,1,0,0,0,1,0,0,1
1640,2,1,0,0,1,0,0,1
2559,2,0,1,0,0,1,0,-1
2607,2,0,0,0,0,2,0,-2
563,2,1,0,0,0,1,0,-1
539,11,3,3,0,3,2,0,1
321,2,0,1,0,1,0,0,1
1885,27,4,4,0,8,11,0,-3
2558,1,0,0,0,1,0,0,1
2668,2,0,1,0,0,1,0,-1
2180,1,0,1,0,0,0,0,0
1511,5,2,0,0,3,0,0,3
304,1,1,0,0,0,0,0,0
1143,5,0,3,0,1,1,0,0
272,5,0,3,0,2,0,0,2
1731,17,4,4,0,4,5,0,-1
2961,9,2,3,0,0,4,0,-4
1793,1,0,0,0,0,1,0,-1
1849,2,0,1,0,1,0,0,1
1699,2,0,0,0,1,1,0,0
176,10,6,4,0,0,0,0,0
2962,3,0,1,0,2,0,0,2
2068,12,2,3,0,4,3,0,1
234,1,0,0,0,0,1,0,-1
623,25,4,5,0,9,7,0,2
538,3,0,0,0,1,2,0,-1
401,12,3,2,0,2,5,0,-3
2729,1,0,1,0,0,0,0,0
2964,9,1,4,0,2,2,0,0
597,1,0,0,0,0,1,0,-1
2911,3,0,1,0,0,2,0,-2
2912,25,4,2,0,10,8,1,2
118,2,0,0,0,0,2,0,-2
2641,7,1,1,0,5,0,0,5
1884,3,0,0,0,2,1,0,1
2053,1,0,0,0,1,0,0,1
53,5,1,0,0,4,0,0,4
287,1,0,1,0,0,0,0,0
134,2,2,0,0,0,0,0,0
166,2,1,1,0,0,0,0,0
2079,1,1,0,0,0,0,0,0
2016,3,0,0,0,1,2,0,-1
3123,11,6,3,0,1,1,0,0
346,7,2,1,0,2,2,0,0
1024,2,0,0,0,2,0,0,2
701,4,1,0,0,2,1,0,1
3150,2,0,0,0,2,0,0,2
3208,1,0,1,0,0,0,0,0
1829,3,1,1,0,1,0,0,1
3154,2,0,0,0,0,2,0,-2
2963,3,1,0,0,0,2,0,-2
3283,4,2,1,0,1,0,0,1
3298,1,1,0,0,0,0,0,0
3340,1,0,0,0,1,0,0,1
620,14,3,0,0,6,5,0,1
2914,22,4,3,1,6,8,0,-2
3279,1,0,0,0,0,1,0,-1
2010,1,0,0,0,0,1,0,-1
2900,9,0,5,0,1,3,0,-2
2363,12,1,0,0,3,8,0,-5
2819,11,2,3,0,4,2,0,2
45,1,0,0,0,0,1,0,-1
3246,2,0,1,0,1,0,0,1
1517,3,0,0,0,1,2,0,-1
3307,2,1,0,0,1,0,0,1
1058,2,1,0,0,0,1,0,-1
2849,18,1,2,0,9,6,0,3
173,1,1,0,0,0,0,0,0
3015,2,0,1,0,1,0,0,1
225,10,7,1,0,1,1,0,0
3389,11,0,3,0,5,3,0,2
1452,1,0,1,0,0,0,0,0
16,1,0,0,0,0,1,0,-1
525,1,0,0,0,0,1,0,-1
177,1,1,0,0,0,0,0,0
910,1,1,0,0,0,0,0,0
3176,1,0,0,0,1,0,0,1
3306,1,1,0,0,0,0,0,0
2023,1,0,0,0,1,0,0,1
3238,1,0,0,0,1,0,0,1
2614,5,0,1,0,2,2,0,0
2619,1,0,1,0,0,0,0,0
896,1,0,0,0,0,1,0,-1
3168,1,1,0,0,0,0,0,0
2895,1,0,0,0,1,0,0,1
2757,1,0,0,0,1,0,0,1
668,1,0,0,0,1,0,0,1
3231,1,0,1,0,0,0,0,0
772,2,0,1,0,0,1,0,-1
932,1,0,0,0,0,1,0,-1
2669,1,0,0,0,0,1,0,-1
93,1,0,1,0,0,0,0,0
2102,1,0,1,0,0,0,0,0
2497,1,0,0,0,0,1,0,-1
308,1,0,0,0,0,1,0,-1
2415,1,0,0,0,0,1,0,-1
971,1,1,0,0,0,0,0,0
647,1,1,0,0,0,0,0,0
1208,1,0,0,0,1,0,0,1
1073,1,0,0,0,1,0,0,1
2341,1,1,0,0,0,0,0,0
706,1,1,0,0,0,0,0,0
801,1,0,0,0,1,0,0,1
3038,1,0,0,0,1,0,0,1
281,1,0,0,0,1,0,0,1
842,1,0,1,0,0,0,0,0
2506,1,0,1,0,0,0,0,0
2424,1,0,0,0,0,1,0,-1
1592,1,0,0,0,0,1,0,-1
3128,1,0,0,0,0,1,0,-1
2186,19,5,4,0,9,1,0,8
2642,2,0,1,0,1,0,0,1
1089,1,0,0,0,0,1,0,-1
578,1,0,0,0,1,0,0,1
3455,3,0,1,0,1,1,0,0
233,1,0,0,0,0,1,0,-1
3558,1,0,0,0,1,0,0,1
3594,1,0,0,0,1,0,0,1
293,1,1,0,0,0,0,0,0
1872,1,1,0,0,0,0,0,0
3504,1,0,0,0,1,0,0,1
378,1,0,0,0,0,1,0,-1
945,1,0,0,0,0,1,0,-1
2590,3,1,0,0,0,2,0,-2
340,3,0,1,0,1,1,0,0
178,1,0,1,0,0,0,0,0
2866,1,0,0,0,0,1,0,-1
3714,9,2,2,0,2,3,0,-1
3748,12,2,2,0,5,3,0,2
3793,11,2,2,0,3,4,0,-1
2789,1,0,0,0,0,1,0,-1
422,10,3,1,0,2,4,0,-2
1403,1,0,0,0,0,1,0,-1
250,1,0,0,0,1,0,0,1
2836,1,0,0,0,1,0,0,1
4242,10,2,1,0,4,3,0,1
4949,9,0,3,0,4,2,0,2
3941,5,0,1,0,3,1,0,2
384,5,1,1,0,1,2,0,-1
4638,14,2,3,0,7,2,0,5
4050,5,1,0,0,2,2,0,0
6326,23,2,3,0,15,3,0,12
5830,9,4,1,0,3,1,0,2
4464,12,3,3,0,3,3,0,0
4514,11,2,2,0,3,4,0,-1
5115,23,3,2,0,12,6,0,6
5979,2,1,0,0,1,0,0,1
5569,2,0,1,0,1,0,0,1
3650,10,2,2,0,5,1,0,4
5243,15,4,4,0,6,1,0,5
6543,3,0,1,0,2,0,0,2
102,2,0,0,0,2,0,0,2
4099,20,3,5,0,4,7,1,-3
4821,10,2,2,0,6,0,0,6
6504,12,2,2,0,5,3,0,2
4067,2,0,1,0,0,1,0,-1
4456,12,2,4,0,5,1,0,4
5338,12,3,4,0,3,2,0,1
5587,18,5,2,0,7,4,0,3
619,8,1,1,0,4,2,0,2
2421,18,7,2,0,5,4,0,1
4137,5,0,2,0,1,2,0,-1
5945,7,3,0,0,2,2,0,0
4541,19,5,2,0,6,6,0,0
4505,9,7,0,0,1,1,0,0
5841,14,2,4,0,5,3,0,2
5549,10,3,1,0,3,3,0,0
6239,13,2,2,0,8,1,0,7
6505,5,2,1,0,1,1,0,0
6213,9,1,3,0,3,2,0,1
4472,30,11,5,0,6,8,0,-2
1923,2,0,1,0,0,1,0,-1
5123,2,0,0,0,1,1,0,0
4575,1,0,0,0,0,1,0,-1
806,1,0,0,0,1,0,0,1
4361,2,0,1,0,0,1,0,-1
303,1,0,1,0,0,0,0,0
2495,1,0,0,0,0,1,0,-1
333,1,0,0,0,0,1,0,-1
5420,1,0,1,0,0,0,0,0
4454,1,0,1,0,0,0,0,0
369,1,0,1,0,0,0,0,0
5895,1,0,0,0,0,1,0,-1
1086,6,2,0,0,2,2,0,0
5957,1,0,0,0,1,0,0,1
3274,6,1,3,0,1,1,0,0
5546,3,1,0,0,0,2,0,-2
5950,1,0,1,0,0,0,0,0
1262,5,1,1,0,1,2,0,-1
1522,1,0,1,0,0,0,0,0
1610,4,1,1,0,0,2,0,-2
5279,2,0,1,0,0,1,0,-1
2028,2,0,0,0,2,0,0,2
3136,5,0,1,0,3,1,0,2
2890,1,0,1,0,0,0,0,0
6882,7,2,2,0,2,1,0,1
5804,4,0,0,0,2,2,0,0
2106,12,4,5,0,2,1,0,1
977,3,0,0,0,1,2,0,-1
6802,4,0,2,0,2,0,0,2
6334,2,0,0,0,1,1,0,0
6194,2,0,1,0,0,1,0,-1
540,2,1,0,0,1,0,0,1
5724,11,2,3,0,4,2,0,2
6863,12,1,2,0,6,3,0,3
2988,4,0,2,0,2,0,0,2
6584,2,1,0,0,0,1,0,-1
3373,5,2,0,0,3,0,0,3
6893,7,1,1,0,4,1,0,3
3939,4,0,2,0,2,0,0,2
3359,1,0,0,0,0,1,0,-1
2998,4,0,2,0,1,1,0,0
7770,21,7,5,0,5,3,1,2
1413,1,0,0,0,0,1,0,-1
7879,1,0,0,0,1,0,0,1
7714,2,0,1,0,1,0,0,1
6312,1,1,0,0,0,0,0,0
8326,2,1,0,0,1,0,0,1
8230,8,1,4,0,2,1,0,1
9539,1,0,0,1,0,0,0,0
8592,24,11,4,0,4,5,0,-1
8590,7,1,1,0,4,1,0,3
9999,4,0,1,0,1,2,0,-1
7429,1,0,0,0,1,0,0,1
1908,3,1,1,0,1,0,0,1
8726,12,1,2,0,5,4,0,1
4286,1,0,0,0,1,0,0,1
8622,1,0,0,0,1,0,0,1
8197,7,2,1,0,2,2,0,0
7886,4,1,1,0,2,0,0,2
8514,6,2,0,0,3,1,0,2
8703,3,0,2,0,1,0,0,1
9033,2,0,0,0,2,0,0,2
9072,6,2,0,0,3,1,0,2
498,7,4,3,0,0,0,0,0
2338,7,4,3,0,0,0,0,0
4096,3,0,0,0,0,3,0,-3
4414,2,0,0,0,0,2,0,-2
6357,1,1,0,0,0,0,0,0
9118,2,1,0,0,1,0,0,1
4135,1,0,0,0,1,0,0,1
1986,2,0,1,0,1,0,0,1
1799,1,0,0,0,0,1,0,-1
3654,1,0,1,0,0,0,0,0
5816,1,0,0,0,0,1,0,-1
3357,1,0,0,0,0,1,0,-1
1706,3,1,0,0,1,1,0,0
5526,1,1,0,0,0,0,0,0
999,1,0,0,0,1,0,0,1
6721,1,0,0,0,1,0,0,1
8019,1,0,0,0,1,0,0,1
201,1,0,0,0,1,0,0,1
2052,1,0,0,0,1,0,0,1
9071,1,0,0,0,1,0,0,1
9182,1,0,1,0,0,0,0,0
353,1,0,1,0,0,0,0,0
2609,1,0,0,0,0,1,0,-1
876,1,0,0,0,0,1,0,-1
3189,1,0,0,0,0,1,0,-1
2096,1,1,0,0,0,0,0,0
4336,3,1,0,0,1,1,0,0
4682,1,0,0,0,1,0,0,1
5648,1,0,0,0,1,0,0,1
4930,1,0,0,0,1,0,0,1
5667,1,1,0,0,0,0,0,0
2481,2,1,0,0,1,0,0,1
6517,1,0,0,0,1,0,0,1
3636,3,1,0,0,1,1,0,0
696,2,1,0,0,0,1,0,-1
6832,1,0,0,0,1,0,0,1
9260,1,0,0,0,1,0,0,1
3019,1,0,1,0,0,0,0,0
1792,1,0,1,0,0,0,0,0
9202,1,0,0,0,0,1,0,-1
7457,2,0,0,0,1,1,0,0
2046,1,0,0,0,1,0,0,1
7407,1,0,0,0,1,0,0,1
1987,1,0,0,0,1,0,0,1
4391,1,0,0,0,1,0,0,1
3361,2,1,0,0,1,0,0,1
9235,1,1,0,0,0,0,0,0
