"num","team","epa_rank","total_epa","norm_epa","unitless_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","next_event_key","next_event_name","next_event_week","record","winrate"
"1325","Inverse Paradox","15","71.5","1833","1897","19","40.6","9.5","0.58","0.44","N/A","N/A","N/A","60-26-0","0.698"
"4678","CyberCavs","16","71.5","1832","1897","19.6","42.8","7.1","0.62","0.4","N/A","N/A","N/A","46-8-0","0.852"
"111","WildStang","17","70.8","1826","1891","18.9","41.4","9.4","0.59","0.53","N/A","N/A","N/A","38-5-1","0.875"
"2075","Enigma Robotics","18","70.6","1824","1889","16.5","41","9.7","0.6","0.45","N/A","N/A","N/A","55-15-0","0.786"
"1731","Fresta Valley Robotics Club","19","70.2","1820","1885","17.8","41.2","8.6","0.51","0.48","N/A","N/A","N/A","48-16-0","0.750"
"3467","Windham Windup","20","70.1","1819","1885","16.7","41.9","8.2","0.73","0.5","N/A","N/A","N/A","55-17-4","0.750"
"4522","Team SCREAM","21","68.8","1807","1874","15.1","40.2","11.4","0.71","0.49","N/A","N/A","N/A","55-15-0","0.786"
"4414","HighTide","22","68.7","1806","1873","14.3","45.6","8.1","0.68","0.47","N/A","N/A","N/A","60-10-1","0.852"
"4028","The Beak Squad","23","68.7","1806","1873","17.8","39.9","9.7","0.66","0.43","N/A","N/A","N/A","34-13-0","0.723"
"133","B.E.R.T.","24","68.7","1806","1873","18.6","39","10.6","0.75","0.7","N/A","N/A","N/A","42-11-2","0.782"
"1756","Argos","25","68.5","1804","1871","15.4","42","8.6","0.48","0.52","N/A","N/A","N/A","40-12-0","0.769"
"176","Aces High","26","68.4","1803","1871","17","40.3","8.6","0.7","0.53","N/A","N/A","N/A","56-15-0","0.789"
"2767","Stryke Force","27","68.3","1802","1870","18.9","40.1","8.1","0.66","0.61","N/A","N/A","N/A","52-14-0","0.788"
"1727","REX","28","68.1","1800","1868","16.6","41.6","7","0.57","0.43","N/A","N/A","N/A","51-17-1","0.746"
"118","Robonauts","29","67.8","1797","1865","17.8","37.7","10","0.9","0.65","N/A","N/A","N/A","88-16-0","0.846"
"973","Greybots","30","67.6","1796","1864","15.5","42.7","8.4","0.61","0.49","N/A","N/A","N/A","52-13-0","0.800"
"125","NUTRONs","31","67.6","1795","1864","17.5","37.3","10.9","0.4","0.51","N/A","N/A","N/A","62-25-3","0.706"
"2363","Triple Helix Robotics","32","67.5","1794","1863","14.5","41.7","8.1","0.55","0.44","N/A","N/A","N/A","53-12-0","0.815"
"2521","SERT","33","67.5","1794","1863","15.9","40.5","9.4","0.66","0.43","N/A","N/A","N/A","39-25-0","0.609"
"1690","Orbit","34","67.4","1793","1862","16.9","40.1","8.4","0.62","0.5","N/A","N/A","N/A","49-15-1","0.762"
"4391","BraveBots","35","67","1790","1859","16.2","39.1","8.3","0.56","0.42","N/A","N/A","N/A","55-22-2","0.709"
"5472","The Wyld Stallyns","36","66.9","1788","1858","14.2","42","8.4","0.6","0.43","N/A","N/A","N/A","43-19-1","0.690"
"2539","Krypton Cougars","37","66.8","1788","1857","15.3","40","10","0.78","0.57","N/A","N/A","N/A","58-15-0","0.795"
"4499","The Highlanders","38","66.8","1788","1857","17.3","40.4","6.7","0.56","0.41","N/A","N/A","N/A","50-14-0","0.781"
"2338","Gear It Forward","39","66.8","1787","1857","14.4","41.6","8.8","0.73","0.51","N/A","N/A","N/A","35-11-0","0.761"
"7407","Wired Boars","40","66.7","1787","1856","17.7","38.9","7.5","0.6","0.28","N/A","N/A","N/A","42-25-3","0.621"
"3314","Mechanical Mustangs","41","66.7","1787","1856","15.3","42.4","8.2","0.69","0.42","N/A","N/A","N/A","67-20-2","0.764"
"148","Robowranglers","42","66.4","1784","1854","12.5","42.3","9.5","0.64","0.35","N/A","N/A","N/A","49-24-0","0.671"
"1987","Broncobots","43","66.4","1784","1853","15.7","42.5","7.2","0.85","0.56","N/A","N/A","N/A","37-9-0","0.804"
"1114","Simbotics","44","66","1779","1850","13.2","42.5","8","0.58","0.44","N/A","N/A","N/A","49-16-0","0.754"
"195","CyberKnights","45","65.8","1778","1849","15.8","40.3","7.8","0.74","0.47","N/A","N/A","N/A","50-16-0","0.758"
"5460","Strike Zone","46","65.7","1777","1848","13.9","42.5","7.4","0.64","0.34","N/A","N/A","N/A","64-28-0","0.696"
"1619","Up-A-Creek Robotics","47","65.7","1777","1848","16.9","37.5","8.7","0.37","0.55","N/A","N/A","N/A","34-11-1","0.750"
"1318","Issaquah Robotics Society","48","65.7","1777","1847","16.1","39.6","7.2","0.47","0.53","N/A","N/A","N/A","44-30-0","0.595"
"67","The HOT Team","49","65.6","1777","1847","16.8","39.4","7.4","0.64","0.25","N/A","N/A","N/A","50-13-0","0.794"
"7157","μBotics","50","65.6","1776","1847","12.5","43.3","8.3","0.59","0.4","N/A","N/A","N/A","33-11-1","0.744"
"3476","Code Orange","51","65.4","1775","1845","16.3","38.7","7.8","0.49","0.39","N/A","N/A","N/A","36-17-0","0.679"
"1538","The Holy Cows","52","65","1771","1842","15.4","39.8","9","0.39","0.42","N/A","N/A","N/A","33-13-0","0.717"
"6672","Fusion Corps","53","64.4","1765","1837","11.8","42.2","8.2","0.65","0.29","N/A","N/A","N/A","55-19-0","0.743"
"695","Bison Robotics","54","64.4","1765","1837","14.5","40.3","7","0.63","0.4","N/A","N/A","N/A","52-11-0","0.825"
"5166","Fabricators","55","64.1","1762","1834","17.3","35.7","7.7","0.46","0.34","N/A","N/A","N/A","42-21-0","0.667"
"4143","MARS/WARS","56","63.9","1759","1832","16.5","34.6","10.6","0.45","0.44","N/A","N/A","N/A","42-9-1","0.817"
"4039","MakeShift Robotics","57","63.8","1759","1831","15.4","36.9","9.2","0.31","0.5","N/A","N/A","N/A","45-18-1","0.711"
"7457","suPURDUEper Robotics","58","63.8","1759","1831","14.2","41.6","7.2","0.55","0.42","N/A","N/A","N/A","46-15-1","0.750"
"1591","Greece Gladiators","59","63.8","1758","1831","17.3","35.6","8.9","0.42","0.39","N/A","N/A","N/A","33-9-1","0.779"
"4946","The Alpha Dogs","60","63.6","1757","1830","15.7","37.4","8.6","0.52","0.35","N/A","N/A","N/A","45-21-0","0.682"
"3357","COMETS","61","63.6","1757","1829","17","34.6","10","0.72","0.54","N/A","N/A","N/A","63-20-0","0.759"
"2930","Sonic Squirrels","62","63.5","1756","1829","17.2","37.4","7.7","0.43","0.33","N/A","N/A","N/A","44-18-0","0.710"
"5895","Peddie Robotics","63","63.5","1756","1828","14.2","39","7.3","0.59","0.38","N/A","N/A","N/A","53-17-0","0.757"
"1768","Nashoba Robotics","64","63.3","1754","1828","14.7","38.5","8.3","0.6","0.44","N/A","N/A","N/A","55-21-4","0.713"
"6090","Wayland Wildcats","65","63.3","1754","1828","16.7","34.4","10.4","0.46","0.58","N/A","N/A","N/A","46-24-0","0.657"
"3039","Wildcat Robotics","66","63.3","1754","1827","16.3","38","7.8","0.51","0.41","N/A","N/A","N/A","50-17-0","0.746"
"624","CRyptonite","67","63.3","1754","1827","15.8","35.4","10.4","0.52","0.42","N/A","N/A","N/A","44-23-0","0.657"
"4255","Robodores","68","63.2","1753","1826","18.1","36.2","8","0.42","0.34","N/A","N/A","N/A","19-9-0","0.679"
"51","Wings of Fire","69","63.1","1752","1825","14.5","37.1","9.2","0.48","0.5","N/A","N/A","N/A","51-19-1","0.725"
"972","Iron Claw","70","63.1","1752","1825","14.6","38.1","8.3","0.5","0.31","N/A","N/A","N/A","40-27-0","0.597"
"604","Quixilver","71","62.9","1750","1824","13.6","38.4","10.1","0.45","0.53","N/A","N/A","N/A","28-16-0","0.636"
"1718","The Fighting Pi","72","62.7","1748","1822","15.6","36.3","8","0.43","0.4","N/A","N/A","N/A","51-16-0","0.761"
"1923","The MidKnight Inventors","73","62.6","1748","1821","13.2","39.4","10.1","0.44","0.66","N/A","N/A","N/A","47-22-0","0.681"
"230","Gaelhawks","74","62.5","1747","1821","16.1","36.2","8.1","0.64","0.36","N/A","N/A","N/A","60-16-1","0.786"
"6424","Stealth Panther Robotics","75","62.5","1746","1820","16.9","35.4","8","0.45","0.53","N/A","N/A","N/A","48-10-0","0.828"
"2974","Walton Robotics","76","62.3","1745","1819","15.9","37.5","7","0.6","0.31","N/A","N/A","N/A","46-15-0","0.754"
"494","Martians","77","62.3","1744","1819","16.9","34.7","8.4","0.42","0.62","N/A","N/A","N/A","45-21-0","0.682"
"3937","Breakaway","78","62.2","1743","1818","15.7","38.6","7.1","0.52","0.33","N/A","N/A","N/A","47-16-0","0.746"
"103","Cybersonics","79","62","1742","1816","12.6","40.3","8.6","0.54","0.31","N/A","N/A","N/A","43-15-1","0.737"
"4381","Twisted Devils","80","62","1742","1816","17.7","35.1","7.4","0.56","0.45","N/A","N/A","N/A","66-16-2","0.798"
"341","Miss Daisy","81","62","1741","1816","14.1","37","8.9","0.41","0.52","N/A","N/A","N/A","42-19-1","0.685"
"461","Westside Boiler Invasion","82","61.9","1741","1815","14.3","37.3","7.1","0.38","0.25","N/A","N/A","N/A","47-24-0","0.662"
"3636","Generals","83","61.8","1739","1814","12.4","37.8","9.6","0.32","0.35","N/A","N/A","N/A","39-25-0","0.609"
"3175","Knight Vision","84","61.7","1739","1814","17.2","33.2","9.8","0.7","0.68","N/A","N/A","N/A","54-13-1","0.801"
"3683","Team DAVE","85","61.5","1737","1812","13.4","39.9","6.6","0.67","0.2","N/A","N/A","N/A","51-15-0","0.773"
"3655","Tractor Technicians","86","61.4","1736","1811","14.3","37","8.2","0.57","0.27","N/A","N/A","N/A","55-22-0","0.714"
"2687","Team Apprentice","87","61.3","1734","1810","14","39.2","7.3","0.51","0.46","N/A","N/A","N/A","42-20-0","0.677"
"4362","CSPA Gems","88","61.3","1734","1810","15.4","36.6","7.4","0.74","0.4","N/A","N/A","N/A","41-22-2","0.646"
"987","HIGHROLLERS","89","61.2","1734","1809","15.2","38.2","6.5","0.55","0.32","N/A","N/A","N/A","30-16-0","0.652"
"694","StuyPulse","90","61.2","1734","1809","14.9","36.3","9","0.52","0.56","N/A","N/A","N/A","49-13-1","0.786"
"3015","Ranger Robotics","91","61.2","1734","1809","14.5","37.4","8.7","0.54","0.44","N/A","N/A","N/A","44-14-0","0.759"
"33","Killer Bees","92","61.2","1733","1809","15.4","35.7","8.6","0.43","0.44","N/A","N/A","N/A","45-18-0","0.714"
"3310","Black Hawk Robotics","93","61.1","1733","1808","13.2","38.7","7.7","0.61","0.41","N/A","N/A","N/A","40-23-0","0.635"
"8033","Highlander Robotics","94","61","1732","1808","12","39.2","8.7","0.55","0.39","N/A","N/A","N/A","33-17-1","0.657"
"3218","Panther Robotics","95","61","1732","1807","14.4","33.3","11.9","0.3","0.45","N/A","N/A","N/A","41-23-0","0.641"
"2659","RoboWarriors","96","60.9","1731","1807","14.2","37.1","8.5","0.59","0.42","N/A","N/A","N/A","38-10-0","0.792"
"581","Blazing Bulldogs","97","60.9","1731","1807","13.5","39.2","8.1","0.62","0.48","N/A","N/A","N/A","17-10-0","0.630"
"88","TJ²","98","60.8","1730","1806","12.7","36.4","10.6","0.39","0.3","N/A","N/A","N/A","46-22-2","0.671"
"4907","Thunderstamps","99","60.7","1729","1805","14.8","36.5","7.8","0.64","0.36","N/A","N/A","N/A","49-17-0","0.742"
"302","The Dragons","100","60.7","1729","1805","13.1","34.6","10.8","0.33","0.55","N/A","N/A","N/A","48-12-2","0.790"
"4272","Maverick Robotics","101","60.6","1728","1804","15.6","35.9","7.5","0.45","0.16","N/A","N/A","N/A","39-21-0","0.650"
"2481","Roboteers","102","60.6","1728","1804","15.8","35.5","8.1","0.55","0.38","N/A","N/A","N/A","32-14-1","0.691"
"6328","Mechanical Advantage","103","60.4","1726","1802","21.5","30.6","6","0.38","0.27","N/A","N/A","N/A","48-23-0","0.676"
"4607","C.I.S.","104","60.3","1725","1801","13.2","36.2","9.8","0.34","0.44","N/A","N/A","N/A","25-16-0","0.610"
"5727","Omegabytes","105","60.2","1724","1801","15.4","37.7","7","0.53","0.4","N/A","N/A","N/A","40-23-2","0.631"
"359","Hawaiian Kids","106","60.2","1724","1801","15.4","34.2","9.1","0.5","0.54","N/A","N/A","N/A","60-20-0","0.750"
"6377","Howdy Bots","107","60","1723","1799","12","37.4","9.6","0.59","0.45","N/A","N/A","N/A","42-21-1","0.664"
"4481","Team Rembrandts","108","59.9","1721","1798","14.8","36.5","7.1","0.58","0.23","N/A","N/A","N/A","34-11-1","0.750"
"4738","Patribots","109","59.9","1721","1798","14.5","38.5","6.7","0.44","0.23","N/A","N/A","N/A","30-12-0","0.714"
"3184","Blaze Robotics","110","59.8","1721","1798","15.2","35.5","6.6","0.56","0.31","N/A","N/A","N/A","43-12-1","0.777"
"4206","Robo Vikes","111","59.8","1721","1798","12.1","38.6","8.8","0.66","0.43","N/A","N/A","N/A","50-28-0","0.641"
"319","Big Bad Bob","112","59.7","1720","1797","16.1","34.1","8","0.53","0.35","N/A","N/A","N/A","44-21-1","0.674"
"5987","Galaxia in memory of David ...","113","59.7","1720","1797","14.3","34.6","7.9","0.41","0.26","N/A","N/A","N/A","35-22-1","0.612"
"1339","AngelBotics","114","59.7","1719","1796","14.5","38.1","5.9","0.75","0.21","N/A","N/A","N/A","35-21-0","0.625"
"95","Grasshoppers","115","59.6","1718","1796","13.5","34.2","10.7","0.34","0.33","N/A","N/A","N/A","30-18-0","0.625"
"3647","Millennium Falcons","116","59.5","1718","1795","16.7","35.1","6.6","0.58","0.12","N/A","N/A","N/A","36-23-0","0.610"
"384","SPARKY 384","117","59.4","1717","1794","15","35.5","7.1","0.46","0.28","N/A","N/A","N/A","44-15-1","0.742"
"1787","The Flying Circuits","118","59.3","1716","1793","14.9","35.1","8.8","0.31","0.41","N/A","N/A","N/A","20-8-0","0.714"
"4270","Crusaders","119","59.3","1716","1793","11.4","36.3","11.3","0.58","0.52","N/A","N/A","N/A","42-20-1","0.675"
"2337","EngiNERDs","120","59.3","1716","1793","13.5","36","8.6","0.74","0.41","N/A","N/A","N/A","45-17-1","0.722"
"870","TEAM  R. I. C. E.","121","59.3","1715","1793","14.1","34.9","9.5","0.55","0.55","N/A","N/A","N/A","42-14-0","0.750"
"1868","Space Cookies","122","59.2","1715","1792","17","31.9","9.5","0.2","0.43","N/A","N/A","N/A","35-26-0","0.574"
"5804","TORCH","123","59.2","1715","1792","15","33.5","8.6","0.46","0.34","N/A","N/A","N/A","49-14-1","0.773"
"1757","Wolverines","124","59.1","1714","1792","15","32.3","9.8","0.48","0.38","N/A","N/A","N/A","45-17-1","0.722"
"7021","TC Robotics","125","59.1","1714","1792","13.6","33.8","9.9","0.46","0.46","N/A","N/A","N/A","37-21-0","0.638"
"4265","Secret City Wildbots","126","59.1","1714","1791","15.4","36.3","6.9","0.32","0.44","N/A","N/A","N/A","29-14-0","0.674"
"687","The Nerd Herd","127","59","1713","1790","13.8","35.7","8.3","0.38","0.39","N/A","N/A","N/A","43-16-0","0.729"
"70","More Martians","128","58.7","1710","1788","15.1","31.6","10.5","0.41","0.51","N/A","N/A","N/A","38-24-1","0.611"
"2054","Tech Vikes","129","58.6","1709","1787","13.6","35.4","6.3","0.45","0.35","N/A","N/A","N/A","40-22-0","0.645"
"4903","Mustangs","130","58.5","1708","1786","15.3","36.1","6.4","0.42","0.29","N/A","N/A","N/A","35-25-0","0.583"
"1506","Metal Muscle","131","58.4","1707","1785","14.6","33.6","8.5","0.28","0.43","N/A","N/A","N/A","52-17-0","0.754"
"177","Bobcat Robotics","132","58.4","1707","1785","11.1","36.5","8.4","0.34","0.43","N/A","N/A","N/A","48-19-0","0.716"
"7890","SeQuEnCe","133","58.3","1706","1785","15.9","31.6","8.7","0.31","0.54","N/A","N/A","N/A","48-11-2","0.803"
"316","LUNATECS","134","58.3","1706","1784","12","33.8","10.9","0.46","0.48","N/A","N/A","N/A","38-21-0","0.644"
"9312","NERD Spark","135","58.2","1705","1784","10.9","37.2","8.7","0.46","0.28","N/A","N/A","N/A","45-22-2","0.667"
"245","Adambots","136","58.2","1705","1784","14.3","34.3","8.4","0.47","0.37","N/A","N/A","N/A","52-21-0","0.712"
"1746","OTTO","137","58.1","1705","1783","12.8","35.8","8.9","0.6","0.37","N/A","N/A","N/A","39-28-0","0.582"
"7769","The CREW","138","58.1","1705","1783","11","35.8","9.4","0.51","0.36","N/A","N/A","N/A","46-22-1","0.674"
"4451","ROBOTZ Garage","139","58","1703","1782","15.1","34.1","8.5","0.51","0.42","N/A","N/A","N/A","47-14-0","0.770"
"8177","Vector","140","58","1703","1782","13.2","35.8","7.2","0.34","0.22","N/A","N/A","N/A","36-24-2","0.597"
"488","Team XBOT","141","58","1703","1782","13.4","33.9","10.3","0.44","0.46","N/A","N/A","N/A","35-23-0","0.603"
"1706","Ratchet Rockers","142","57.9","1703","1782","15.8","34.6","7.2","0.57","0.33","N/A","N/A","N/A","38-11-1","0.770"
"5199","Robot Dolphins From Outer S...","143","57.9","1702","1781","13","35","8.3","0.34","0.31","N/A","N/A","N/A","42-14-0","0.750"
"5687","The Outliers","144","57.9","1702","1781","16.1","34","5.6","0.54","0.3","N/A","N/A","N/A","41-17-2","0.700"
"876","Thunder Robotics","145","57.9","1702","1781","16","33.4","8","0.43","0.37","N/A","N/A","N/A","29-14-0","0.674"
"180","S.P.A.M.","146","57.8","1702","1781","16.7","32.7","8.1","0.34","0.59","N/A","N/A","N/A","46-20-1","0.694"
"6800","Valor","147","57.8","1702","1781","12","37","8.6","0.38","0.47","N/A","N/A","N/A","42-21-1","0.664"
"4795","Eastbots","148","57.8","1701","1781","15.6","34.6","7.7","0.41","0.47","N/A","N/A","N/A","50-15-1","0.765"
"1403","Team 1403 Cougar Robotics","149","57.7","1700","1779","11","36","8.4","0.5","0.25","N/A","N/A","N/A","41-19-1","0.680"
"8592","Newton²","150","57.5","1698","1778","15.3","34.2","6","0.44","0.33","N/A","N/A","N/A","43-20-0","0.683"
"4909","Bionics","151","57.4","1697","1777","14.9","32.3","9","0.43","0.48","N/A","N/A","N/A","39-22-0","0.639"
"59","RamTech","152","57.3","1696","1776","11.3","36.7","8.8","0.37","0.17","N/A","N/A","N/A","30-27-1","0.526"
"5406","Celt-X","153","57.3","1696","1776","15.2","32.8","8.2","0.52","0.33","N/A","N/A","N/A","34-21-0","0.618"
"1391","The Metal Moose","154","57.2","1695","1775","15.7","28.9","11.3","0.41","0.42","N/A","N/A","N/A","39-24-1","0.617"
"1684","The Chimeras","155","57.2","1695","1775","12","35.3","9.5","0.51","0.4","N/A","N/A","N/A","45-29-0","0.608"
"971","Spartan Robotics","156","57.1","1695","1775","16","33.1","8","0.5","0.34","N/A","N/A","N/A","29-16-0","0.644"
"3663","CPR - Cedar Park Robotics","157","57.1","1694","1774","13.8","34.7","8.3","0.47","0.47","N/A","N/A","N/A","44-16-1","0.730"
"2601","Steel Hawks","158","57","1693","1774","16","32.2","8.8","0.28","0.57","N/A","N/A","N/A","31-14-1","0.685"
"4613","Barker Redbacks","159","56.9","1693","1773","13","36.6","7","0.6","0.4","N/A","N/A","N/A","62-17-0","0.785"
"818","The Steel Armadillos","160","56.9","1692","1773","15.7","31.8","7.2","0.58","0.29","N/A","N/A","N/A","47-26-0","0.644"
"4201","The Vitruvian Bots","161","56.9","1692","1772","11.9","36","8","0.26","0.41","N/A","N/A","N/A","26-14-0","0.650"
"7558","ALT-F4","162","56.8","1692","1772","15.9","31.8","7.7","0.36","0.31","N/A","N/A","N/A","44-17-0","0.721"
"1683","Techno Titans","163","56.8","1692","1772","16.8","29.6","9.1","0.31","0.4","N/A","N/A","N/A","46-15-0","0.754"
"1477","Texas Torque","164","56.8","1691","1772","14","36.9","4.4","0.4","0.29","N/A","N/A","N/A","32-27-0","0.542"
"2252","The Mavericks","165","56.8","1691","1771","16","32.1","8.7","0.5","0.5","N/A","N/A","N/A","20-7-0","0.741"
"2992","The S.S. Prometheus","166","56.8","1691","1771","14.4","33.5","8.4","0.44","0.52","N/A","N/A","N/A","45-18-1","0.711"
"3620","Average Joes","167","56.7","1690","1771","12.9","34.4","7.4","0.42","0.19","N/A","N/A","N/A","41-22-0","0.651"
"401","Copperhead Robotics","168","56.6","1689","1770","13.8","37.5","3.5","0.39","0.08","N/A","N/A","N/A","42-21-1","0.664"
"1241","THEORY6","169","56.6","1689","1770","13.9","33.4","8","0.31","0.4","N/A","N/A","N/A","49-28-0","0.636"
"7461","Sushi Squad","170","56.5","1688","1769","14.6","31.1","8.5","0.54","0.31","N/A","N/A","N/A","36-25-0","0.590"
"1701","RoboCubs","171","56.4","1687","1769","13.6","32","9.4","0.43","0.38","N/A","N/A","N/A","44-28-2","0.608"
"16","Bomb Squad","172","56.4","1687","1769","14.7","33.3","7.3","0.37","0.39","N/A","N/A","N/A","35-12-0","0.745"
"1730","Team Driven","173","56.4","1687","1768","10.7","35.2","9.7","0.43","0.45","N/A","N/A","N/A","33-14-0","0.702"
"8085","MOJO","174","56.4","1687","1768","11.5","34.8","8.4","0.39","0.47","N/A","N/A","N/A","48-22-0","0.686"
"422","The Mech Tech Dragons","175","56.4","1686","1768","14.1","36.1","4.8","0.59","0.05","N/A","N/A","N/A","37-28-0","0.569"
"114","Eaglestrike","176","56.2","1685","1767","14.4","34.3","7","0.47","0.31","N/A","N/A","N/A","21-9-0","0.700"
"179","Children of the Swamp","177","56.2","1684","1766","10.6","37.6","7","0.43","0.34","N/A","N/A","N/A","48-15-1","0.758"
"7211","Hollywood","178","56","1682","1765","16.5","30.4","7.3","0.32","0.48","N/A","N/A","N/A","35-22-0","0.614"
"2642","Pitt Pirates","179","56","1682","1765","15.2","31.4","8","0.23","0.44","N/A","N/A","N/A","39-22-0","0.639"
"2987","Rogue Robotics","180","56","1682","1765","13.5","32.6","9","0.39","0.42","N/A","N/A","N/A","18-14-0","0.563"
"5712","Hemlock's Gray Matter","181","55.9","1681","1765","14","33","7.2","0.33","0.28","N/A","N/A","N/A","41-21-2","0.656"
"1102","M'Aiken Magic","182","55.8","1680","1763","14.4","33.3","6.7","0.34","0.24","N/A","N/A","N/A","45-21-0","0.682"
"2052","KnightKrawler","183","55.8","1680","1763","15","31.9","8.7","0.3","0.43","N/A","N/A","N/A","30-9-0","0.769"
"3641","The Flying Toasters","184","55.8","1680","1763","12.5","32.5","9.4","0.46","0.34","N/A","N/A","N/A","41-21-0","0.661"
"2713","Red Hawk Robotics","185","55.7","1679","1763","11.7","33.5","9.4","0.49","0.45","N/A","N/A","N/A","34-21-1","0.616"
"8013","Boston Lions","186","55.6","1678","1762","13.9","32.2","8","0.41","0.31","N/A","N/A","N/A","34-20-1","0.627"
"4415","EPIC Robotz","187","55.6","1677","1761","17","30.5","7.4","0.25","0.39","N/A","N/A","N/A","39-20-1","0.658"
"3940","CyberTooth","188","55.6","1677","1761","12.1","33.9","7","0.54","0.42","N/A","N/A","N/A","40-19-0","0.678"
"6722","LED Robotics","189","55.6","1677","1761","15.3","32.9","7.4","0.41","0.46","N/A","N/A","N/A","31-14-0","0.689"
"587","The Hedgehogs","190","55.5","1676","1761","16.1","32.1","6.2","0.32","0.17","N/A","N/A","N/A","43-22-0","0.662"
"3847","Spectrum   -△◅","191","55.5","1676","1760","13.3","33.8","7.1","0.4","0.32","N/A","N/A","N/A","44-20-0","0.688"
"325","Respawn Robotics","192","55.3","1674","1759","15.1","32.2","7.1","0.27","0.31","N/A","N/A","N/A","25-17-0","0.595"
"1745","The P-51 Mustangs","193","55.3","1674","1759","10.7","35.4","8.7","0.47","0.4","N/A","N/A","N/A","41-20-0","0.672"
"4336","Ramageddon Robotics","194","55.3","1674","1759","12.3","34","7.5","0.11","0.49","N/A","N/A","N/A","34-14-0","0.708"
"1732","Hilltopper Robotics","195","55.3","1674","1759","13.6","34.1","6.7","0.56","0.37","N/A","N/A","N/A","40-15-0","0.727"
"1574","MisCar","196","55.3","1673","1759","14.4","31.7","7.9","0.42","0.31","N/A","N/A","N/A","33-24-0","0.579"
"2630","Thunderbolts","197","55.2","1673","1759","11.8","33.9","7.8","0.49","0.4","N/A","N/A","N/A","41-22-0","0.651"
"4422","Twisted Angels","198","55.2","1673","1758","13.2","32.3","8.5","0.25","0.52","N/A","N/A","N/A","54-23-1","0.699"
"5010","Tiger Dynasty","199","55.1","1672","1758","12","33.7","8.6","0.47","0.46","N/A","N/A","N/A","39-22-1","0.637"
"1771","North Gwinnett Robotics","200","55.1","1671","1757","19.2","27.7","7.3","0.48","0.43","N/A","N/A","N/A","46-15-0","0.754"
"4476","W.A.F.F.L.E.S.","201","55","1671","1757","14.3","30.3","8.8","0.31","0.5","N/A","N/A","N/A","45-13-0","0.776"
"11","MORT","202","55","1670","1756","15.1","31","8","0.3","0.54","N/A","N/A","N/A","51-26-0","0.662"
"1425","Error Code Xero","203","54.9","1670","1756","16.1","31.3","6.1","0.42","0.31","N/A","N/A","N/A","40-21-0","0.656"
"9128","ITKAN Robotics","204","54.7","1668","1754","12.5","36.4","5.1","0.33","0.04","N/A","N/A","N/A","37-26-0","0.587"
"2881","Lady Cans","205","54.6","1667","1753","11.5","33.9","7.3","0.28","0.12","N/A","N/A","N/A","34-26-0","0.567"
"1807","Redbird Robotics","206","54.6","1667","1753","10.4","35.5","6.5","0.43","0.31","N/A","N/A","N/A","55-20-0","0.733"
"4131","Iron Patriots","207","54.6","1667","1753","14.5","32.8","7.2","0.25","0.32","N/A","N/A","N/A","39-35-0","0.527"
"5152","Alotobots","208","54.6","1667","1753","13.5","29.7","10.7","0.34","0.43","N/A","N/A","N/A","32-23-2","0.579"
"5414","Pearadox","209","54.5","1666","1752","12.4","33.1","8.4","0.33","0.28","N/A","N/A","N/A","41-25-0","0.621"
