"num","team","epa_rank","total_epa","norm_epa","unitless_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","next_event_key","next_event_name","next_event_week","record","winrate"
"1323","MadTown Robotics","1","84.2","1954","2005","21.1","51.7","9.7","0.86","0.69","N/A","N/A","N/A","52-1-0","0.981"
"2056","OP Robotics","2","83.7","1949","2000","19.3","52.9","8.1","0.91","0.59","N/A","N/A","N/A","61-8-0","0.884"
"1678","Citrus Circuits","3","77.9","1894","1951","18.5","43.2","11.7","0.84","0.67","N/A","N/A","N/A","62-7-1","0.893"
"6329","The Bucks' Wrath","4","77.3","1888","1946","17.4","46.1","10.3","0.76","0.5","N/A","N/A","N/A","55-14-0","0.797"
"254","The Cheesy Poofs","5","77.2","1887","1945","18.6","46.2","9.3","0.89","0.46","N/A","N/A","N/A","36-5-0","0.878"
"3005","RoboChargers","6","75.7","1872","1932","18.7","46.8","7.2","0.75","0.34","N/A","N/A","N/A","58-12-0","0.829"
"5940","BREAD","7","75.1","1867","1928","19.7","44.1","8.8","0.66","0.48","N/A","N/A","N/A","40-9-0","0.816"
"2046","Bear Metal","8","74.8","1864","1925","18.3","42.8","10.4","0.86","0.51","N/A","N/A","N/A","61-21-2","0.738"
"2910","Jack in the Bot","9","74.6","1862","1923","17.8","44","8.6","0.96","0.31","N/A","N/A","N/A","69-16-0","0.812"
"6036","Peninsula Robotics","10","73.7","1854","1915","16.5","46.3","7.8","0.81","0.36","N/A","N/A","N/A","49-18-1","0.728"
"1577","Steampunk","11","72.3","1840","1904","12.9","46.2","9.7","0.75","0.38","N/A","N/A","N/A","51-12-0","0.810"
"2468","Team Appreciate","12","72.3","1840","1904","20","43.6","8.1","0.68","0.58","N/A","N/A","N/A","53-9-3","0.838"
"3538","RoboJackets","13","72.2","1840","1903","15.3","44.3","10.6","0.6","0.74","N/A","N/A","N/A","65-20-1","0.762"
"930","Mukwonago BEARs","14","71.8","1835","1899","16.8","44.2","9.4","0.84","0.51","N/A","N/A","N/A","47-13-1","0.779"
