Team,Title,Published At,Subscriber Count,View Count,Video Count
1538,The Holy Cows,2011-09-15T00:20:23Z,366,90017,225
1540,1540FlamingChickens,2009-05-22T07:46:13Z,245,70316,115
1557,12 Volt Bolt :: FRC Team 1557,2010-03-10T21:34:33Z,49,8975,55
1559,Victor Robotics,2013-03-09T16:00:44Z,37,5582,73
1574,MisCar #1574,2009-03-10T20:48:04Z,491,216328,127
1577,Steampunk 1577,2011-01-04T14:32:54Z,438,129426,67
1592,BionicTigers,2012-09-19T03:44:43Z,61,13327,48
1595,FRC Team 1595: The Dragons,2013-02-03T21:39:50Z,61,9427,23
1596,Instigators 1596,2013-01-19T14:42:38Z,62,6978,40
1610,Blackwater Robotics FIRST Team 1610,2011-01-10T03:04:32Z,72,54390,944
1619,Up-A-Creek Robotics,2010-03-21T18:54:19Z,1660,507796,84
1640,FRC1640,2012-06-08T09:43:06Z,274,108250,165
1646,FIRST Team 1646,2011-01-27T23:44:23Z,36,4492,6
1657,hamosad1657,2008-12-21T16:53:06Z,191,89427,46
1671,Buchanan Bird Brains FRC Team 1671,2010-02-12T01:11:40Z,321,79698,147
1676,FRC Team 1676,2012-11-22T18:29:16Z,573,793062,6902
1678,Citrus Circuits,2009-04-02T05:28:59Z,3000,801609,201
1690,Orbit 1690,2011-01-28T17:25:05Z,2390,881582,45
1718,FRCTeam1718,2012-10-11T21:34:09Z,230,33624,47
1730,teamdriven1730,2010-01-23T17:47:59Z,215,85114,316
1735,team1735,2011-01-07T03:13:44Z,25,3625,41
1741,Red Alert Robotics - FIRST Team 1741,2009-08-30T22:52:56Z,137,16550,98
1745,Pearce Robotics,2008-08-16T21:31:06Z,72,12478,23
1757,Westwood Robotics,2011-02-21T23:58:46Z,30,3120,14
1787,Flying Circuits 1787,2012-01-13T22:34:30Z,70,21091,17
1796,RoboTigers 1796,2011-03-04T03:01:45Z,129,18846,179
1806,FRC1806,2011-02-21T20:59:46Z,109,48614,134
1816,Edina Robotics FIRST Team 1816,2007-12-24T16:48:24Z,229,97099,183
1817,Team 1817 Llano Estacado RoboRaiders,2008-07-24T01:10:03Z,54,17894,43
1828,1828 BoxerBots,2012-02-03T22:15:23Z,65,5134,79
1860,Alphabots #1860,2009-04-19T22:23:47Z,165,21618,92
1912,Team1912Combustion,2011-04-02T14:58:34Z,60,19546,61
1937,Elysium 1937,2010-01-23T20:56:41Z,178,69152,97
1967,FRC Team 1967,2009-03-04T07:30:09Z,113,18350,60
1982,Cougar Robotics,2011-10-08T14:58:56Z,7,728,5
1983,Skunkworks1983,2013-10-13T01:55:42Z,205,34689,50
1986,TeamTitaniumRobotics,2007-02-03T19:19:09Z,923,563464,285
1987,Broncobots Team 1987,2008-01-06T04:05:52Z,166,67176,384
2046,Tahoma Robotics,2007-03-24T11:13:48Z,2850,734559,309
2052,Team 2052 KnightKrawler,2007-03-22T13:38:27Z,565,182483,215
2053,Southern Tier Robotics,2014-03-31T18:45:38Z,41,4249,15
2056,frc2056,2010-10-22T00:44:02Z,174,32708,116
2068,MetalJackets2068,2012-10-23T20:43:21Z,43,5026,28
2169,FRC2169,2011-12-03T14:53:58Z,166,30170,62
2180,SteinertRobotics2180,2011-02-23T02:27:03Z,32,3080,32
2194,Fondyfire2194,2010-02-27T17:30:56Z,3,0,0
2199,RoboLions,2008-01-25T03:19:19Z,35,11018,74
2200,MMRambotics,2009-02-05T02:19:19Z,100,40282,175
2212,OfficialSpikes2212,2011-01-22T15:40:13Z,266,135272,124
2220,Team2220BlueTwilight,2013-03-20T01:07:25Z,162,108074,47
2228,"FRC 2228, CougarTech",2013-03-18T22:50:41Z,38,2613,33
2240,FRC Team 2240,2011-10-02T17:28:01Z,66,22933,25
2337,Team2337,2008-02-21T18:07:47Z,286,71262,123
2358,BEARBOTICS2358,2010-02-10T15:59:51Z,147,34497,241
2363,Triple Helix Robotics,2010-03-09T18:47:33Z,888,360281,1307
2375,Dragon Robotics 2375,2012-01-21T21:01:54Z,95,11515,92
2383,Ninjineers2383,2011-10-27T21:02:17Z,497,134496,123
2386,Burlington Trojans,2011-02-15T23:09:36Z,53,16258,98
