district,team,total points,average points,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
FIM,9148,51,51.0,51,,,,,,,,,,,,,,
FIM,4988,473,47.3,50,47,0,26,28,41,41,70,47,123,,,,,
FIM,6618,600,85.71428571428571,50,141,0,42,58,190,119,,,,,,,,
FIM,9237,50,50.0,50,,,,,,,,,,,,,,
FIM,7289,247,41.166666666666664,49,41,0,34,73,50,,,,,,,,,
FIM,6963,239,39.833333333333336,49,47,0,0,116,27,,,,,,,,,
FIM,8517,188,62.666666666666664,49,129,10,,,,,,,,,,,,
FIM,7202,169,28.166666666666668,49,46,0,0,41,33,,,,,,,,,
FIM,6548,503,71.85714285714286,49,20,0,10,85,170,169,,,,,,,,
FIM,7145,155,25.833333333333332,49,41,0,13,17,35,,,,,,,,,
FIM,5498,508,56.44444444444444,49,129,0,23,53,57,47,46,104,,,,,,
FIM,7598,173,34.6,49,26,0,20,78,,,,,,,,,,
FIM,6094,192,27.428571428571427,48,,0,0,43,36,23,42,,,,,,,
FIM,5282,401,40.1,48,41,0,11,107,36,24,21,45,68,,,,,
FIM,5641,367,40.77777777777778,48,44,0,27,139,20,28,20,41,,,,,,
FIM,7178,439,73.16666666666667,48,203,0,27,55,106,,,,,,,,,
FIM,8280,119,29.75,48,50,5,16,,,,,,,,,,,
FIM,9209,48,48.0,48,,,,,,,,,,,,,,
FIM,6533,173,24.714285714285715,47,28,0,0,39,22,37,,,,,,,,
FIM,858,811,54.06666666666667,47,105,0,0,33,48,54,127,65,65,65,82,49,25,46
FIM,9210,47,47.0,47,,,,,,,,,,,,,,
FIM,8374,84,21.0,47,16,5,16,,,,,,,,,,,
FIM,66,1099,78.5,47,19,0,23,177,132,162,126,215.0,68,26,61,89,97,72
FIM,2246,551,36.733333333333334,47,35,0,0,16,32,22,23,49,43,16,68,90,82,28
FIM,9249,47,47.0,47,,,,,,,,,,,,,,
FIM,4680,722,65.63636363636364,46,54,0,23,194,91,121,101,33,38,21,,,,
FIM,8519,97,32.333333333333336,46,41,10,,,,,,,,,,,,
FIM,2224,433,28.866666666666667,46,40,0,0,86,63,20,15,46,18,19,33,16,14,17
FIM,5538,301,33.44444444444444,46,98,0,22,19,25,36,17,38,,,,,,
FIM,7224,113,18.833333333333332,46,16,0,0,18,33,,,,,,,,,
FIM,7660,354,70.8,46,126,0,44,138,,,,,,,,,,
FIM,6085,366,45.75,45,79,0,10,64,55,44,69,,,,,,,
FIM,904,810,54.0,45,46,0,0,113,57,108,64,49,44,54,63,25,37,105
FIM,9211,45,45.0,45,,,,,,,,,,,,,,
FIM,894,778,51.86666666666667,45,157,0,16,25,39,191,53,26,33,18,32,43,64,36
FIM,5067,384,38.4,45,22,0,13,50,49,105,53,23,24,,,,,
FIM,8774,76,38.0,45,31,,,,,,,,,,,,,
FIM,5697,269,29.88888888888889,44,14,0,68,20,28,22,42,31,,,,,,
FIM,5086,743,74.3,44,182,0,46,95,57,150,53,58,58,,,,,
FIM,5567,551,61.22222222222222,44,59,0,0,177,60,113,72,26,,,,,,
FIM,7196,141,23.5,43,21,0,10,41,26,,,,,,,,,
FIM,2673,514,34.266666666666666,43,48,0,0,37,15,41,33,49,35,66,46,19,61,21
FIM,6112,349,43.625,43,112,0,0,47,98,16,33,,,,,,,
FIM,5056,375,37.5,43,59,0,37,55,35,26,38,45,37,,,,,
FIM,5559,297,33.0,42,58,0,24,18,12,55,45,43,,,,,,
FIM,6538,362,51.714285714285715,42,43,0,17,60,59,141,,,,,,,,
FIM,7203,110,22.0,42,20,,0,20,28,,,,,,,,,
FIM,8423,98,24.5,42,41,5,10,,,,,,,,,,,
FIM,8041,117,29.25,42,40,5,30,,,,,,,,,,,
FIM,5084,892,89.2,42,213,0,59,183,112,40,126,45,72,,,,,
FIM,5053,825,82.5,42,45,0,44,30,64,233,157,115,95,,,,,
FIM,288,524,34.93333333333333,42,51,0,0,62,62,28,34,23,29,20,49,22,77,25
FIM,244,414,31.846153846153847,42,47,0,0,34,49,48,19,29,35,28,52,31,,
FIM,1076,521,43.416666666666664,42,46,0,8,168,21,52,56,46,16,,49,17,,
FIM,6528,192,27.428571428571427,42,32,0,0,65,24,29,,,,,,,,
FIM,6114,222,27.75,41,54,0,0,20,12,40,55,,,,,,,
FIM,4375,430,35.833333333333336,41,51,0,40,47,55,54,36,18,31,25,32,,,
FIM,2145,783,52.2,41,38,0,24,64,107,106,15,31,34,118,21,100,64,20
FIM,7154,288,48.0,41,50,0,9,117,71,,,,,,,,,
FIM,9225,41,41.0,41,,,,,,,,,,,,,,
FIM,6128,214,26.75,40,47,0,0,14,21,22,70,,,,,,,
FIM,3537,540,41.53846153846154,40,137,0,0,65,42,57,18,19,22,20,84,36,,
FIM,3707,1272,106.0,40,203,0,47,293,371,40,113,62.0,29,47,33,56,,
FIM,5144,290,32.22222222222222,40,47,0,8,,12,96,32,27,28,,,,,
FIM,5517,494,61.75,40,58,,18,46,148,49,42,93,,,,,,
FIM,5547,432,48.0,40,84,0,17,46,56,100,52,37,,,,,,
FIM,9246,40,40.0,40,,,,,,,,,,,,,,
FIM,7225,312,52.0,39,51,0,28,57,137,,,,,,,,,
FIM,5623,447,55.875,39,98,,0,57,49,93,52,59,,,,,,
FIM,9278,39,39.0,39,,,,,,,,,,,,,,
FIM,9222,39,39.0,39,,,,,,,,,,,,,,
FIM,6150,260,32.5,38,32,0,25,31,39,42,53,,,,,,,
FIM,4851,293,26.636363636363637,38,32,0,0,29,18,57,22,27,40,30,,,,
FIM,9248,38,38.0,38,,,,,,,,,,,,,,
FIM,9188,38,38.0,38,,,,,,,,,,,,,,
FIM,9239,38,38.0,38,,,,,,,,,,,,,,
FIM,6100,312,39.0,37,46,0,0,66,110,27,26,,,,,,,
FIM,6067,323,40.375,37,44,0,19,62,54,45,62,,,,,,,
FIM,8767,67,33.5,37,30,,,,,,,,,,,,,
FIM,9205,37,37.0,37,,,,,,,,,,,,,,
FIM,3602,917,76.41666666666667,36,138,0,33,121,59,53,163,177.0,138,79,47,50,,
FIM,4384,740,67.27272727272727,36,84,0,34,41,165,29,152,190.0,72,85,42,,,
FIM,5530,624,69.33333333333333,36,43,0,42,188,107,116,37,55,,,,,,
FIM,6071,249,31.125,36,28,0,6,38,39,49,53,,,,,,,
FIM,4737,392,35.63636363636363,36,27,0,0,101,43,43,32,35,39,36,,,,
FIM,7823,206,41.2,36,23,0,17,130,,,,,,,,,,
FIM,8873,138,69.0,36,102,,,,,,,,,,,,,
FIM,9203,36,36.0,36,,,,,,,,,,,,,,
FIM,7221,142,23.666666666666668,35,24,0,8,50,25,,,,,,,,,
FIM,7195,154,25.666666666666668,35,50,0,9,27,33,,,,,,,,,
FIM,6057,223,27.875,35,51,0,0,39,24,19,55,,,,,,,
FIM,7188,153,25.5,35,21,0,12,27,58,,,,,,,,,
FIM,1504,673,44.86666666666667,35,41,0,0,58,48,59,34,61,21,67,99,60,34,56
FIM,5702,214,23.77777777777778,35,16,0,0,36,38,26,33,30,,,,,,
FIM,6556,246,35.142857142857146,35,11,0,29,60,55,56,,,,,,,,
FIM,9212,35,35.0,35,,,,,,,,,,,,,,
FIM,9223,35,35.0,35,,,,,,,,,,,,,,
FIM,6566,203,29.0,34,54,0,0,42,31,42,,,,,,,,
FIM,6591,376,53.714285714285715,34,36,0,50,172,44,40,,,,,,,,
FIM,5467,341,37.888888888888886,34,35,0,0,43,123,50,27,29,,,,,,
FIM,1502,706,47.06666666666667,34,163,0,5,22,23,49,45,149,51,48,44,30,21,22
FIM,7656,223,44.6,34,41,0,5,143,,,,,,,,,,
FIM,6033,297,37.125,34,97,0,13,44,40,39,30,,,,,,,
FIM,5525,338,42.25,33,88,,5,30,62,37,46,37,,,,,,
FIM,8832,77,38.5,33,44,,,,,,,,,,,,,
FIM,6567,167,27.833333333333332,33,,0,11,36,58,29,,,,,,,,
FIM,5197,210,23.333333333333332,33,20,0,8,36,44,20,18,,31,,,,,
FIM,8427,68,17.0,33,20,5,10,,,,,,,,,,,
FIM,3568,410,31.53846153846154,33,47,0,11,33,25,18,51,31,36,16,73,36,,
FIM,6077,532,66.5,33,57,0,34,66,205,94,43,,,,,,,
FIM,6120,342,42.75,33,93,0,20,95,27,21,53,,,,,,,
FIM,2959,1353,90.2,33,164,0,52,92,135,56,99,180,131,149,88,78,68,28
FIM,247,723,48.2,33,45,0,9,35,58,43,22,37,37,51,105,72,90,86
FIM,7762,155,31.0,33,31,0,38,53,,,,,,,,,,
FIM,5695,237,26.333333333333332,32,38,0,12,21,23,43,25,43,,,,,,
FIM,6642,190,27.142857142857142,32,86,0,0,22,24,26,,,,,,,,
FIM,5203,286,28.6,32,12,0,0,32,18,18,95,35,44,,,,,
FIM,5182,252,28.0,32,25,,24,35,44,22,28,20,22,,,,,
FIM,5065,207,20.7,32,29,0,0,25,24,11,10,25,51,,,,,
FIM,7716,86,17.2,32,13,0,9,32,,,,,,,,,,
FIM,2048,456,35.07692307692308,32,57,0,0,125,24,43,50,18,13,,,16,58,20
FIM,9251,32,32.0,32,,,,,,,,,,,,,,
FIM,9250,32,32.0,32,,,,,,,,,,,,,,
FIM,7809,165,33.0,31,0,0,14,120,,,,,,,,,,
FIM,6877,183,30.5,31,26,0,21,52,53,,,,,,,,,
FIM,3452,1208,100.66666666666667,31,108,0,11,196,342,201,146,176.0,47,45,38,43,,
FIM,8385,92,23.0,31,24,5,32,,,,,,,,,,,
FIM,6588,214,30.571428571428573,31,49,0,45,31,25,33,,,,,,,,
FIM,8373,137,34.25,31,59,5,42,,,,,,,,,,,
FIM,9238,31,31.0,31,,,,,,,,,,,,,,
FIM,6073,224,28.0,30,37,0,13,36,32,34,42,,,,,,,
FIM,9252,30,30.0,30,,,,,,,,,,,,,,
FIM,9183,30,30.0,30,,,,,,,,,,,,,,
FIM,280,670,44.666666666666664,29,26,0,0,32,20,35,54,116,102,66,44,74,25,47
FIM,7658,201,40.2,29,60,0,5,107,,,,,,,,,,
FIM,7810,83,20.75,29,22,,5,27,,,,,,,,,,
FIM,5046,801,80.1,28,88,0,44,137,120,50,69,202,63,,,,,
FIM,453,464,35.69230769230769,28,23,0,4,18,24,37,35,42,109,48,54,,,42
FIM,9177,28,28.0,28,,,,,,,,,,,,,,
FIM,9228,28,28.0,28,,,,,,,,,,,,,,
FIM,7814,95,23.75,28,29,,13,25,,,,,,,,,,
FIM,5756,340,37.77777777777778,27,41,0,14,39,30,94,34,61,,,,,,
FIM,5162,465,46.5,27,16,0,0,11,35,165,58,38,115,,,,,
FIM,5610,315,39.375,27,57,,26,21,19,58,65,42,,,,,,
FIM,6631,135,19.285714285714285,27,20,0,0,23,22,43,,,,,,,,
FIM,7155,134,22.333333333333332,27,21,0,9,41,36,,,,,,,,,
FIM,9253,27,27.0,27,,,,,,,,,,,,,,
FIM,5980,712,89.0,27,88,0,32,40,155,145,225,,,,,,,
FIM,8364,68,17.0,26,27,5,10,,,,,,,,,,,
FIM,5256,339,33.9,25,22,0,0,60,27,83,51,37,34,,,,,
FIM,3458,334,25.692307692307693,25,41,0,0,95,14,20,13,19,34,27,17,29,,
FIM,94,574,38.266666666666666,24,22,0,22,80,46,59,58,55,37,62,25,14,29,41
FIM,9206,24,24.0,24,,,,,,,,,,,,,,
FIM,8362,60,15.0,24,21,5,10,,,,,,,,,,,
FIM,5562,272,30.22222222222222,24,13,0,21,54,16,11,29,104,,,,,,
FIM,8297,56,14.0,24,17,5,10,,,,,,,,,,,
FIM,6099,259,32.375,23,23,0,0,41,84,58,30,,,,,,,
FIM,7192,207,34.5,23,52,0,37,60,35,,,,,,,,,
FIM,7811,85,17.0,23,18,0,5,39,,,,,,,,,,
FIM,6096,140,17.5,23,25,0,0,19,21,19,33,,,,,,,
FIM,6097,370,46.25,23,33,0,34,62,22,91,105,,,,,,,
FIM,7597,86,17.2,23,15,0,5,43,,,,,,,,,,
FIM,6087,461,57.625,23,100,0,65,108,84,51,30,,,,,,,
FIM,8623,62,20.666666666666668,23,29,10,,,,,,,,,,,,
FIM,8899,73,36.5,23,50,,,,,,,,,,,,,
FIM,6122,287,35.875,23,94,0,30,49,39,28,24,,,,,,,
FIM,4382,200,20.0,23,12,0,0,12,20,15,,,54,28,36,,,
FIM,8286,65,16.25,22,28,5,10,,,,,,,,,,,
FIM,5150,912,91.2,22,115,0,10,103,118,199,257,42,46,,,,,
FIM,2591,433,28.866666666666667,22,20,0,30,40,34,0,20,41,29,31,83,38,25,20
FIM,5527,162,18.0,22,0,0,27,12,16,22,21,42,,,,,,
FIM,7826,86,17.2,22,23,0,5,36,,,,,,,,,,
FIM,7713,124,24.8,22,18,0,26,58,,,,,,,,,,
FIM,6345,152,21.714285714285715,22,23,0,18,44,18,27,,,,,,,,
FIM,6101,277,34.625,22,21,0,0,46,21,118,49,,,,,,,
FIM,240,569,37.93333333333333,22,91,0,27,59,21,26,26,28,69,50,65,28,36,21
FIM,5706,200,22.22222222222222,22,18,0,8,33,17,22,21,59,,,,,,
FIM,5642,125,15.625,21,14,0,0,,10,20,29,31,,,,,,
FIM,4337,255,21.25,21,20,0,0,41,21,16,25,17,26,19,49,,,
FIM,8826,59,29.5,21,38,,,,,,,,,,,,,
FIM,1596,898,59.86666666666667,21,61,0,22,117,122,129,65,51,65,64,27,65,21,68
FIM,8611,77,25.666666666666668,21,46,10,,,,,,,,,,,,
FIM,5227,202,22.444444444444443,20,,0,0,61,19,45,14,21,22,,,,,
FIM,5248,284,35.5,20,,,0,25,21,60,52,40,66,,,,,
FIM,5224,342,38.0,20,32,0,30,75,49,,38,45,53,,,,,
FIM,5532,162,18.0,20,21,0,11,17,17,14,23,39,,,,,,
FIM,3632,240,18.46153846153846,20,27,0,0,10,16,18,36,23,16,22,23,29,,
FIM,3773,364,28.0,20,17,0,22,31,16,16,54,34,52,28,23,51,,
FIM,4768,263,29.22222222222222,20,,0,26,99,36,11,14,54.0,29,28,,,,
FIM,5193,564,56.4,20,105,0,9,65,116,54,30,44,121,,,,,
FIM,8285,68,17.0,19,34,5,10,,,,,,,,,,,
FIM,3302,467,33.357142857142854,19,31,0,8,49,17,47,25,23,43,45,39,40,81,
FIM,5486,209,23.22222222222222,19,16,0,19,26,22,22,29,56,,,,,,
FIM,5239,185,20.555555555555557,19,21,,0,23,13,40,13,29,27,,,,,
FIM,7254,119,19.833333333333332,19,12,0,0,45,43,,,,,,,,,
FIM,8522,29,14.5,19,,10,,,,,,,,,,,,
FIM,5531,372,41.333333333333336,19,30,0,13,54,135,35,45,41,,,,,,
FIM,7772,103,20.6,19,18,0,30,36,,,,,,,,,,
FIM,8424,76,19.0,19,42,5,10,,,,,,,,,,,
FIM,6102,140,17.5,19,20,0,12,11,6,43,29,,,,,,,
FIM,5501,356,44.5,18,38,0,0,110,113,54,23,64.0,,,,,,
FIM,5214,208,20.8,18,28,0,13,17,16,28,13,23,52,,,,,
FIM,7256,175,29.166666666666668,18,17,0,0,26,114,,,,,,,,,
FIM,6089,147,21.0,18,22,,0,19,14,28,46,,,,,,,
FIM,7247,94,15.666666666666666,18,17,0,0,27,32,,,,,,,,,
FIM,8193,90,22.5,18,21,5,46,,,,,,,,,,,
FIM,7855,110,22.0,18,19,0,11,62,,,,,,,,,,
FIM,6190,196,24.5,18,10,0,8,14,37,32,77,,,,,,,
FIM,4961,544,54.4,18,19,0,26,62,60,158,47,114,40,,,,,
FIM,313,345,23.0,18,32,0,0,41,23,13,24,14,21,18,40,34,41,26
FIM,4854,241,21.90909090909091,18,21,0,15,44,24,14,17,16,41,31,,,,
FIM,7248,164,27.333333333333332,17,19,0,0,34,94,,,,,,,,,
FIM,6561,130,18.571428571428573,17,12,0,18,16,21,46,,,,,,,,
FIM,6615,183,26.142857142857142,17,37,0,0,15,60,54,,,,,,,,
FIM,5704,123,17.571428571428573,17,24,,7,14,,11,23,27,,,,,,
FIM,5878,326,40.75,17,15,0,30,17,55,48,144,,,,,,,
FIM,8300,59,14.75,17,15,5,22,,,,,,,,,,,
FIM,8397,49,12.25,16,18,5,10,,,,,,,,,,,
FIM,6428,88,12.571428571428571,16,13,0,0,12,25,22,,,,,,,,
FIM,5708,240,26.666666666666668,16,60,0,0,28,42,40,28,26,,,,,,
FIM,6088,405,50.625,16,81,0,11,141,63,52,41,,,,,,,
FIM,4758,214,21.4,16,24,0,25,12,45,16,12,,29,35,,,,
FIM,1528,412,27.466666666666665,16,22,0,0,26,26,32,36,21,16,9,24,90,71,23
FIM,7808,76,19.0,15,,0,12,49,,,,,,,,,,
FIM,5619,172,19.11111111111111,15,37,0,0,13,24,15,28,40,,,,,,
FIM,6558,250,35.714285714285715,15,28,0,7,58,48,94,,,,,,,,
FIM,7232,136,22.666666666666668,15,16,0,24,45,36,,,,,,,,,
FIM,4827,334,30.363636363636363,15,43,0,50,21,19,14,46,40,58,28,,,,
FIM,5260,456,45.6,15,76,0,29,44,33,56,41,138,24,,,,,
FIM,7210,87,14.5,14,11,0,7,22,33,,,,,,,,,
FIM,4390,233,19.416666666666668,14,14,0,0,26,13,17,33,22,25,24,45,,,
FIM,6616,169,24.142857142857142,14,29,0,8,52,32,34,,,,,,,,
FIM,5234,508,50.8,14,40,0,17,120,155,57,51,26,28,,,,,
FIM,5470,185,20.555555555555557,14,10,0,0,17,21,22,48,53,,,,,,
FIM,5478,268,29.77777777777778,14,46,0,0,35,27,19,37,90,,,,,,
FIM,5509,892,99.11111111111111,14,82,0,11,192,132,254,64,143,,,,,,
FIM,5714,182,20.22222222222222,14,47,0,0,13,44,23,18,23,,,,,,
FIM,6091,179,25.571428571428573,14,21,,9,24,58,28,25,,,,,,,
FIM,7602,111,22.2,14,24,0,27,46,,,,,,,,,,
FIM,6020,343,42.875,13,17,0,13,108,42,98,52,,,,,,,
FIM,8124,46,11.5,13,18,5,10,,,,,,,,,,,
FIM,7813,52,13.0,13,,0,5,34,,,,,,,,,,
FIM,5263,229,22.9,13,14,0,7,20,39,31,35,36,34,,,,,
FIM,5225,156,15.6,13,18,0,0,17,17,22,12,35,22,,,,,
FIM,5213,223,22.3,13,0,0,0,14,42,33,20,46,55,,,,,
FIM,4395,356,29.666666666666668,13,38,0,0,44,61,52,58,15,28,21,26,,,
FIM,4376,392,35.63636363636363,13,,0,8,62,46,47,71,27,67,19,32,,,
FIM,5533,325,36.111111111111114,13,13,0,56,49,47,41,17,89,,,,,,
FIM,7818,70,14.0,13,19,0,5,33,,,,,,,,,,
FIM,3619,259,19.923076923076923,12,30,0,0,23,41,25,19,11,24,33,17,24,,
FIM,8314,67,16.75,12,23,5,27,,,,,,,,,,,
FIM,4838,189,21.0,12,34,0,0,29,35,14,,,17,48,,,,
FIM,8352,126,31.5,12,99,5,10,,,,,,,,,,,
FIM,6113,269,33.625,11,35,0,47,41,36,57,42,,,,,,,
FIM,7784,113,28.25,11,27,,16,59,,,,,,,,,,
FIM,7911,84,21.0,11,15,,5,53,,,,,,,,,,
FIM,5183,241,24.1,11,14,0,8,18,47,55,14,38,36,,,,,
FIM,9192,10,10.0,10,,,,,,,,,,,,,,
FIM,9197,10,10.0,10,,,,,,,,,,,,,,
FIM,9217,10,10.0,10,,,,,,,,,,,,,,
FIM,9224,10,10.0,10,,,,,,,,,,,,,,
FIM,9254,10,10.0,10,,,,,,,,,,,,,,
FIM,9256,10,10.0,10,,,,,,,,,,,,,,
FIM,9266,10,10.0,10,,,,,,,,,,,,,,
FIM,7109,147,24.5,10,37,0,0,44,56,,,,,,,,,
FIM,5504,258,28.666666666666668,10,50,0,42,21,45,18,19,53,,,,,,
FIM,830,621,44.357142857142854,9,51,0,32,39,29,60,42,97.0,49,22,97,63,106,22
FIM,8607,15,7.5,5,,10,,,,,,,,,,,,
FIM,8618,15,7.5,5,,10,,,,,,,,,,,,
FIM,8629,15,7.5,5,,10,,,,,,,,,,,,
FIM,8854,43,21.5,5,38,,,,,,,,,,,,,
FIM,5205,898,89.8,5,199,0,39,214,153,202,39,21,26,,,,,
FIM,1243,647,46.214285714285715,0,0,,0,37,56,112,34,47,74,43,52,78,88,26
FIM,1254,441,29.4,0,25,0,8,46,34,27,36,46,14,37,30,18,57,63
FIM,2612,804,61.84615384615385,0,,,0,35,36,130,111,53,51,100,20,102,123,43
FIM,2676,286,22.0,0,,,0,23,50,33,13,18,12,51,16,34,19,17
FIM,3535,723,60.25,0,,0,58,59,136,136,72,54,74,35,28,71,,
FIM,3542,991,76.23076923076923,0,60,0,31,255,167,112,71,84,44,36,34,97,,
FIM,3547,588,53.45454545454545,0,,,0,60,64,69,41,137,22,56,47,92,,
FIM,3570,393,35.72727272727273,0,,,0,31,56,48,47,91,12,27,38,43,,
FIM,3617,398,33.166666666666664,0,,0,10,19,20,33,65,32,44,28,83,64,,
FIM,4408,165,15.0,0,,0,0,18,18,19,19,18,16,29,28,,,
FIM,4409,441,44.1,0,,,29,98,64,91,55,21,18,27,38,,,
FIM,4482,264,33.0,0,,,0,58,33,53,25,100.0,50,45,,,,
FIM,4568,327,32.7,0,17,,4,107,21,31,14,18,65,50,,,,
FIM,4715,191,17.363636363636363,0,20,0,6,23,19,23,22,35,29,14,,,,
FIM,4811,229,25.444444444444443,0,,,0,51,40,50,25,15,17,31,,,,
FIM,4815,197,19.7,0,0,0,0,15,39,45,18,97.0,29,51,,,,
FIM,4819,515,51.5,0,,0,0,53,103,47,54,56,137,65,,,,
FIM,4840,154,17.11111111111111,0,,,10,37,15,14,7,15,23,33,,,,
FIM,4970,625,62.5,0,0,0,7,147,124,218,51,25,53,,,,,
FIM,5048,625,69.44444444444444,0,29,,0,92,38,114,125,174,53,,,,,
FIM,5069,411,51.375,0,,,0,64,47,108,53,94,45,,,,,
FIM,5072,288,36.0,0,,,0,36,31,54,46,103,18,,,,,
FIM,5155,660,73.33333333333333,0,,0,31,56,135,178,113,91,56,,,,,
FIM,5156,164,20.5,0,,,0,27,15,42,23,30,27,,,,,
FIM,5161,156,19.5,0,,,0,21,26,22,32,23,32,,,,,
FIM,5173,337,37.44444444444444,0,,0,0,61,39,135,13,23,66,,,,,
FIM,5194,262,29.11111111111111,0,,0,11,40,21,48,70,44,28,,,,,
FIM,5204,302,37.75,0,,,0,37,43,110,37,44,31,,,,,
FIM,5215,204,20.4,0,0,0,11,49,22,48,10,38,26,,,,,
FIM,5217,221,22.1,0,26,0,0,16,25,30,54,50,20,,,,,
FIM,5230,514,51.4,0,49,0,0,50,123,95,97,30,70,,,,,
FIM,5238,262,26.2,0,0,0,34,15,49,23,63,42,36,,,,,
FIM,5255,134,14.88888888888889,0,13,,0,0,24,39,8,20,30,,,,,
FIM,5257,149,18.625,0,,,0,26,15,25,23,31,29,,,,,
FIM,5316,209,26.125,0,,,0,19,14,45,19,53,59,,,,,
FIM,5448,318,35.333333333333336,0,17,0,0,10,17,33,203,38,,,,,,
FIM,5502,314,44.857142857142854,0,,,84,17,44,37,99,33,,,,,,
FIM,5523,278,30.88888888888889,0,16,0,11,14,102,57,38,40,,,,,,
FIM,5524,196,32.666666666666664,0,,,11,39,49,42,55,120.0,,,,,,
FIM,5622,142,17.75,0,,0,0,13,20,32,45,32,,,,,,
FIM,5662,148,21.142857142857142,0,,,20,13,14,16,56,29,,,,,,
FIM,5685,146,20.857142857142858,0,,,0,21,39,20,20,46,,,,,,
FIM,5688,203,29.0,0,,,16,37,37,20,28,65,,,,,,
FIM,5709,324,36.0,0,17,0,0,22,45,156,42,42,,,,,,
FIM,5710,290,41.42857142857143,0,,,9,48,25,35,66,107,,,,,,
FIM,5713,91,15.166666666666666,0,,,15,,0,38,19,19,,,,,,
FIM,5853,165,23.571428571428573,0,,0,0,73,9,30,53,,,,,,,
FIM,5915,363,45.375,0,15,0,0,26,112,123,87,,,,,,,
FIM,5963,93,15.5,0,,,0,18,19,20,36,,,,,,,
FIM,5989,141,23.5,0,,,17,38,16,34,36,,,,,,,
FIM,6013,163,23.285714285714285,0,,0,35,27,12,20,69,,,,,,,
FIM,6043,184,23.0,0,0,0,0,47,50,42,45,,,,,,,
FIM,6065,143,23.833333333333332,0,,,0,35,35,38,35,,,,,,,
FIM,6066,252,36.0,0,0,,0,38,13,152,49,,,,,,,
FIM,6074,108,15.428571428571429,0,,0,12,13,16,43,24,,,,,,,
FIM,6075,481,80.16666666666667,0,,,0,17,28,317,119,,,,,,,
FIM,6092,123,15.375,0,0,0,8,45,17,22,31,,,,,,,
FIM,6093,198,24.75,0,0,0,12,54,42,38,52,,,,,,,
FIM,6116,156,22.285714285714285,0,,0,0,19,47,27,63,,,,,,,
FIM,6137,65,13.0,0,,,0,18,13,,34,,,,,,,
FIM,6138,100,16.666666666666668,0,,,11,14,22,25,28,,,,,,,
FIM,6193,524,74.85714285714286,0,,0,0,57,218,96,153,,,,,,,
FIM,6425,164,27.333333333333332,0,,0,0,17,31,116,,,,,,,,
FIM,6550,144,28.8,0,,,0,50,42,52,,,,,,,,
FIM,6552,81,13.5,0,12,,0,16,23,30,,,,,,,,
FIM,6557,93,18.6,0,,,15,15,33,30,,,,,,,,
FIM,6573,227,45.4,0,,,0,94,102,31,,,,,,,,
FIM,6580,314,44.857142857142854,0,154,0,38,67,18,37,,,,,,,,
FIM,6581,86,12.285714285714286,0,8,0,13,12,27,26,,,,,,,,
FIM,6582,264,52.8,0,,,0,41,47,176,,,,,,,,
FIM,6583,58,11.6,0,,,0,14,18,26,,,,,,,,
FIM,6589,87,17.4,0,,,0,24,16,47,,,,,,,,
FIM,6592,92,18.4,0,,,0,33,30,29,,,,,,,,
FIM,6594,88,17.6,0,,,0,19,31,38,,,,,,,,
FIM,6595,86,17.2,0,,,24,23,19,20,,,,,,,,
FIM,6597,78,15.6,0,,,0,32,19,27,,,,,,,,
FIM,6599,77,15.4,0,,,9,19,20,29,,,,,,,,
FIM,6600,69,11.5,0,,0,0,21,21,27,,,,,,,,
FIM,6611,64,10.666666666666666,0,,0,0,16,18,30,,,,,,,,
FIM,6638,74,14.8,0,,,7,12,22,33,,,,,,,,
FIM,6742,180,36.0,0,,,42,44,55,39,,,,,,,,
FIM,6954,75,18.75,0,,,0,24,51,,,,,,,,,
FIM,6958,113,28.25,0,,,0,65,48,,,,,,,,,
FIM,7020,83,13.833333333333334,0,0,0,13,43,27,,,,,,,,,
FIM,703,661,44.06666666666667,0,0,0,14,63,56,45,61,85,54,47,53,43,86,54
FIM,7073,48,12.0,0,,,0,25,23,,,,,,,,,
FIM,7144,213,42.6,0,32,,0,65,116,,,,,,,,,
FIM,7147,118,19.666666666666668,0,39,0,27,16,36,,,,,,,,,
FIM,7150,53,13.25,0,,,0,17,36,,,,,,,,,
FIM,7156,54,9.0,0,0,0,11,20,23,,,,,,,,,
FIM,7168,73,14.6,0,,0,0,45,28,,,,,,,,,
FIM,7172,65,13.0,0,,0,0,40,25,,,,,,,,,
FIM,7187,161,40.25,0,,,0,40,121,,,,,,,,,
FIM,7191,196,32.666666666666664,0,92,0,41,33,30,,,,,,,,,
FIM,7208,81,13.5,0,0,0,26,23,32,,,,,,,,,
FIM,7209,122,20.333333333333332,0,16,0,29,20,57,,,,,,,,,
FIM,7213,130,32.5,0,,,0,18,112,,,,,,,,,
FIM,7218,108,27.0,0,,,0,23,85,,,,,,,,,
FIM,7219,75,18.75,0,,,10,31,34,,,,,,,,,
FIM,7222,123,30.75,0,,,12,57,54,,,,,,,,,
FIM,7223,71,14.2,0,,0,0,39,32,,,,,,,,,
FIM,7234,189,31.5,0,47,0,10,22,110,,,,,,,,,
FIM,7495,44,11.0,0,0,,11,33,,,,,,,,,,
FIM,7638,76,19.0,0,,0,16,60,,,,,,,,,,
FIM,7665,65,13.0,0,0,0,5,60,,,,,,,,,,
FIM,7689,40,10.0,0,0,,5,35,,,,,,,,,,
