district,team,total points,average points,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
CHS,1446,96,13.714285714285714,25,,0,0,14,24,18,15,,,,,,,
CHS,6882,295,49.166666666666664,24,26,0,26,101,118,,,,,,,,,
CHS,7886,169,42.25,24,18,,48,79,,,,,,,,,,
CHS,5243,356,44.5,23,28,0,26,64,105,60,50,,,,,,,
CHS,4638,487,60.875,21,93,0,0,108,38,129,98,,,,,,,
CHS,339,536,67.0,21,0,0,34,95,126,32,228,,,,,,,
CHS,4821,243,30.375,21,90,0,7,41,29,13,42,,,,,,,
CHS,3359,362,45.25,20,41,0,0,82,48,124,47,,,,,,,
CHS,4286,306,43.714285714285715,19,76,,23,19,13,46,110,,,,,,,
CHS,3793,581,72.625,18,21,0,41,137,120,208,36,,,,,,,
CHS,8514,55,18.333333333333332,18,27,10,,,,,,,,,,,,
CHS,5830,238,29.75,17,27,0,0,79,32,25,58,,,,,,,
CHS,2961,93,11.625,16,10,0,4,19,22,10,12,,,,,,,
CHS,8197,56,14.0,15,21,5,15,,,,,,,,,,,
CHS,6239,188,26.857142857142858,15,12,0,0,50,18,93,,,,,,,,
CHS,5841,210,26.25,14,16,0,25,16,30,25,84,,,,,,,
CHS,3361,184,26.285714285714285,12,44,,12,31,23,17,45,,,,,,,
CHS,2890,228,28.5,12,14,0,15,28,96,49,14,,,,,,,
CHS,2534,663,82.875,11,24,0,37,206,107,152,126,,,,,,,
CHS,9010,10,10.0,10,,,,,,,,,,,,,,
CHS,9179,10,10.0,10,,,,,,,,,,,,,,
CHS,2912,360,51.42857142857143,9,39,,48,116,16,48,84,,,,,,,
CHS,4464,177,22.125,7,7,0,0,26,18,80,39,,,,,,,
CHS,8703,31,15.5,5,26,,,,,,,,,,,,,
CHS,1413,344,43.0,0,0,0,19,99,46,37,143,,,,,,,
CHS,1598,225,28.125,0,0,0,6,14,13,145,47,,,,,,,
CHS,2819,101,14.428571428571429,0,,0,14,20,36,15,16,,,,,,,
CHS,3072,206,29.428571428571427,0,,0,0,58,53,38,57,,,,,,,
CHS,3258,240,34.285714285714285,0,0,,0,40,47,110,43,,,,,,,
CHS,3274,391,55.857142857142854,0,74,,25,70,129,50,43,,,,,,,
CHS,3389,259,32.375,0,0,0,0,29,32,27,171,,,,,,,
CHS,3650,143,20.428571428571427,0,,0,8,44,17,25,49,,,,,,,
CHS,3714,71,10.142857142857142,0,0,,0,18,12,34,7,,,,,,,
CHS,3941,311,44.42857142857143,0,,0,0,31,48,124,108,,,,,,,
CHS,4242,649,81.125,0,101,0,22,98,88,172,168,,,,,,,
CHS,4466,88,12.571428571428571,0,,0,0,36,33,11,8,,,,,,,
CHS,4514,240,40.0,0,,,42,34,31,87,46,,,,,,,
CHS,4949,70,11.666666666666666,0,,,0,16,12,12,30,,,,,,,
CHS,5279,548,91.33333333333333,0,,,11,37,70,202,228,,,,,,,
CHS,5546,636,79.5,0,19,0,45,126,235,48,163,,,,,,,
CHS,5945,311,44.42857142857143,0,,0,47,30,109,88,37,,,,,,,
CHS,5957,344,57.333333333333336,0,,,28,45,75,103,93,,,,,,,
CHS,6021,77,12.833333333333334,0,,,4,17,14,19,23,,,,,,,
CHS,6213,109,13.625,0,17,0,12,13,24,22,21,,,,,,,
CHS,6334,621,103.5,0,,0,27,100,193,301,,,,,,,,
CHS,6584,115,23.0,0,,,18,18,23,56,,,,,,,,
CHS,6893,76,12.666666666666666,0,0,0,8,34,34,,,,,,,,,
CHS,7714,61,15.25,0,,0,22,39,,,,,,,,,,
CHS,8108,10,5.0,0,,,10,,,,,,,,,,,
CHS,8217,61,15.25,0,24,5,32,,,,,,,,,,,
CHS,8357,10,5.0,0,,,10,,,,,,,,,,,
FIM,1506,1729,115.26666666666667,397,255,0,45,228,200,236,65,134,75,12,17,28,17,20
FIM,51,1974,141.0,371,182,0,48,194,186,189,115,63,174,85,120,131,116,
FIM,6090,1025,128.125,352,141,0,0,164,221,83,64,,,,,,,
FIM,4381,1184,107.63636363636364,331,189,0,0,165,119,118,111,152.0,35,79,37,,,
FIM,862,2132,142.13333333333333,318,189,0,80,292,201,236,60,145,172,160,120,30,55,74
FIM,818,1120,74.66666666666667,317,193,0,0,40,60,106,48,63,57,24,18,59,38,97
FIM,2767,2655,177.0,317,363,0,50,325,365,374,255,179,60,87,108,110,25,37
FIM,7769,782,156.4,315,202,0,55,210,,,,,,,,,,
FIM,3538,2049,170.75,313,386,0,72,391,317,193,123,101,39,,69,45,,
FIM,226,1672,111.46666666666667,307,133,0,84,230,134,136,62,196,50,37,68,74,112,49
FIM,5166,1062,106.2,303,182,0,47,139,34,148,111,38,60,,,,,
FIM,3655,1207,92.84615384615384,302,212,0,17,190,97,94,149,19,36,30,40,21,,
FIM,5907,927,115.875,301,53,0,0,105,232,107,129,,,,,,,
FIM,503,2207,147.13333333333333,296,329,0,64,190,232,244,212,168,160,47,55,50,60,100
FIM,3357,2038,145.57142857142858,296,314,0,47,210,356,226,225,60,33,19,88,55,109,
FIM,3175,1154,82.42857142857143,292,178,0,56,123,51,106,41,35,114,33,56,22,47,
FIM,67,2975,212.5,286,233,0,73,243,341,265,335,234.0,304,158,217,148,211,161
FIM,4362,1819,165.36363636363637,281,246,0,18,368,263,186,195,172.0,173,45,44,,,
FIM,6081,584,73.0,281,93,0,17,57,36,36,64,,,,,,,
FIM,3668,950,73.07692307692308,278,186,0,0,65,49,49,105,109,40,18,27,24,,
FIM,217,2416,161.06666666666666,277,43,0,29,226,329,298,188,201,73,115,120,169,193,155
FIM,302,1739,115.93333333333334,275,259,0,27,231,274,204,56,23,65,53,67,111,34,60
FIM,4422,274,274.0,274,,,,,,,,,,,,,,
FIM,1189,1458,97.2,271,171,0,38,99,178,112,62,230,95,101,35,19,16,31
FIM,5460,1727,191.88888888888889,263,333,0,0,370,228,128,266,139,,,,,,
FIM,5050,1350,135.0,260,206,0,0,322,248,53,189,29,43,,,,,
FIM,2337,2615,186.78571428571428,257,387,0,136,239,298,327,131,210.0,294,76,145,141,129,55
FIM,245,1923,137.35714285714286,254,125,0,27,260,228,226,58,174.0,112,154,104,158,85,132
FIM,494,2264,150.93333333333334,251,295,0,19,236,291,234,182,141,206,75,75,144,61,54
FIM,1718,2722,181.46666666666667,250,277,0,82,302,270,216,252,174,296,180,90,127,163,43
FIM,5712,1064,133.0,249,249,0,47,197,149,57,116,105.0,,,,,,
FIM,6002,638,79.75,246,107,0,0,122,42,52,69,,,,,,,
FIM,3641,1936,148.92307692307693,235,210,0,73,298,320,81,173,209,119,122,57,39,,
FIM,5901,557,69.625,234,47,0,0,97,54,59,66,,,,,,,
FIM,857,1261,84.06666666666666,233,168,0,69,36,150,117,64,128,133,64,24,37,19,19
FIM,2075,1600,106.66666666666667,233,296,0,0,266,199,157,55,109,73,25,46,24,72,45
FIM,9312,232,232.0,232,,,,,,,,,,,,,,
FIM,5216,998,99.8,220,191,0,10,154,188,46,45,104,40,,,,,
FIM,27,2901,193.4,218,425,0,70,210,257,233,336,247,330,134,104,150,123,64
FIM,7211,646,107.66666666666667,217,134,0,26,130,139,,,,,,,,,
FIM,33,2968,212.0,216,356,0,48,361,250,411,251,257.0,339,183,140,188,162,63
FIM,3620,1767,147.25,211,226,0,55,276,169,268,209,148.0,138,50,77,88,,
FIM,3414,1454,103.85714285714286,209,256,0,50,274,49,149,119,44,56,140,21,51,36,
FIM,1481,1046,116.22222222222223,206,52,0,65,244,59,211,145,64,,,,,,
FIM,4391,1721,143.41666666666666,206,183,0,57,197,203,304,179,139,132,72,49,,,
FIM,70,1967,131.13333333333333,203,211,0,28,43,178,150,197,230,142,119,100,118,128,120
FIM,3536,1467,112.84615384615384,201,247,0,42,205,253,58,125,131,59,14,41,91,,
FIM,201,1353,90.2,196,186,0,20,50,117,163,70,56,55,51,71,127,108,83
FIM,3539,1841,141.6153846153846,195,314,0,46,62,184,176,116,154,202,165,85,142,,
FIM,5675,999,124.875,190,212,0,35,137,189,176,60,96.0,,,,,,
FIM,548,1635,116.78571428571429,190,33,0,67,286,68,175,143,350.0,176,55,170,136,63,73
FIM,5505,1263,140.33333333333334,188,172,0,0,133,222,237,185,126,,,,,,
FIM,1701,1177,78.46666666666667,184,253,0,0,41,129,116,133,63,38,91,26,37,11,55
FIM,8608,237,79.0,184,43,10,,,,,,,,,,,,
FIM,469,1822,130.14285714285714,182,59,0,0,59,46,303,67,207.0,237,210,219,165,206,69
FIM,3572,1157,89.0,181,129,0,62,181,150,81,52,38,68,83,74,58,,
FIM,4003,1943,161.91666666666666,181,275,0,32,163,399,214,229,149,119,58,124,,,
FIM,3322,1264,90.28571428571429,178,276,0,51,61,44,52,62,138,54,53,150,52,93,
FIM,4776,975,88.63636363636364,176,97,0,29,224,188,51,94,42,37,37,,,,
FIM,1025,1379,98.5,173,100,0,0,229,270,148,102,213.0,65,69,97,57,26,43
FIM,7174,358,59.666666666666664,173,75,0,0,53,57,,,,,,,,,
FIM,85,1859,123.93333333333334,173,186,0,24,166,244,250,195,175,57,42,121,65,65,96
FIM,8426,235,58.75,170,50,5,10,,,,,,,,,,,
FIM,1023,2246,160.42857142857142,169,258,0,78,310,238,234,262,354.0,199,60,170,159,91,18
FIM,3534,1358,104.46153846153847,167,220,0,73,159,179,100,199,50,104,24,56,27,,
FIM,3767,961,73.92307692307692,165,117,0,24,119,197,77,88,65,39,20,21,29,,
FIM,107,1829,121.93333333333334,165,226,0,0,207,59,270,175,204,213,76,82,41,65,46
FIM,2832,1269,84.6,164,142,0,0,127,149,271,72,59,43,18,44,74,59,47
